Course Code,Course Title,HEI Code,HEI,ISCED,R1 Points,Year
AL801,Software Design for Virtual Reality and Gaming,AL,Athlone Institute of Technology,Information and Communication Technologies (ICTs),300,2021
AL802,Software Design in Artificial Intelligence for Cloud Computing,AL,Athlone Institute of Technology,Information and Communication Technologies (ICTs),313,2021
AL803,Software Design for Mobile Apps and Connected Devices,AL,Athlone Institute of Technology,Information and Communication Technologies (ICTs),350,2021
AL805,Computer Engineering for Network Infrastructure,AL,Athlone Institute of Technology,Information and Communication Technologies (ICTs),321,2021
AL810,Quantity Surveying,AL,Athlone Institute of Technology,Architecture and construction,328,2021
AL820,Mechanical and Polymer Engineering,AL,Athlone Institute of Technology,Manufacturing and processing,327,2021
AL830,General Nursing,AL,Athlone Institute of Technology,Health,451,2021
AL832,Mental Health Nursing,AL,Athlone Institute of Technology,Health,440,2021
AL835,Pharmacology,AL,Athlone Institute of Technology,Biological and related sciences,356,2021
AL836,Nutrition and Health Science,AL,Athlone Institute of Technology,Health,346,2021
AL837,Sports Science with Exercise Physiology,AL,Athlone Institute of Technology,Personal services,357,2021
AL838,Biotechnology,AL,Athlone Institute of Technology,Biological and related sciences,324,2021
AL839,Microbiology,AL,Athlone Institute of Technology,Biological and related sciences,325,2021
AL840,Pharmaceutical Sciences,AL,Athlone Institute of Technology,Physical sciences,346,2021
AL841,Athletic and Rehabilitation Therapy,AL,Athlone Institute of Technology,Health,477,2021
AL842,Bioveterinary Science,AL,Athlone Institute of Technology,Biological and related sciences,338,2021
AL843,Physical Activity and Health Science,AL,Athlone Institute of Technology,Health,306,2021
AL849,Culinary Entrepreneurship,AL,Athlone Institute of Technology,Personal services,297,2021
AL850,Business,AL,Athlone Institute of Technology,Business and administration,309,2021
AL851,Business and Law,AL,Athlone Institute of Technology,Law,302,2021
AL852,Accounting,AL,Athlone Institute of Technology,Business and administration,336,2021
AL854,Sport Management (with international placement),AL,Athlone Institute of Technology,Personal services,300,2021
AL855,Hospitality Management (with international placement),AL,Athlone Institute of Technology,Personal services,309,2021
AL857,Digital Marketing,AL,Athlone Institute of Technology,Business and administration,304,2021
AL859,International Business,AL,Athlone Institute of Technology,Business and administration,308,2021
AL860,Social Care Practice,AL,Athlone Institute of Technology,Welfare,301,2021
AL861,Animation and Illustration (portfolio),AL,Athlone Institute of Technology,Arts,575,2021
AL863,Graphic and Digital Design (portfolio),AL,Athlone Institute of Technology,Arts,747,2021
AL864,Early Years Care and Education,AL,Athlone Institute of Technology,Welfare,306,2021
