Course Code,Course Title,HEI Code,HEI,ISCED,R1 Points,Year
AL801,Software Design with Virtual Reality and Gaming,AL,Athlone Institute of Technology,Information and Communication Technologies (ICTs),304,2019
AL802,Software Design with Cloud Computing,AL,Athlone Institute of Technology,Information and Communication Technologies (ICTs),301,2019
AL803,Software Design with Mobile Apps and Connected Devices,AL,Athlone Institute of Technology,Information and Communication Technologies (ICTs),309,2019
AL805,Network Management and Cloud Infrastructure,AL,Athlone Institute of Technology,Information and Communication Technologies (ICTs),329,2019
AL810,Quantity Surveying,AL,Athlone Institute of Technology,Architecture and construction,307,2019
AL820,Mechanical and Polymer Engineering,AL,Athlone Institute of Technology,Manufacturing and processing,300,2019
AL830,General Nursing,AL,Athlone Institute of Technology,Health,410,2019
AL832,Psychiatric Nursing,AL,Athlone Institute of Technology,Health,387,2019
AL836,Nutrition and Health Science,AL,Athlone Institute of Technology,Health,352,2019
AL837,Sports Science with Exercise Physiology,AL,Athlone Institute of Technology,Personal services,351,2019
AL838,Biotechnology,AL,Athlone Institute of Technology,Biological and related sciences,302,2019
AL839,Microbiology,AL,Athlone Institute of Technology,Biological and related sciences,322,2019
AL840,Pharmaceutical Sciences,AL,Athlone Institute of Technology,Physical sciences,328,2019
AL841,Athletic and Rehabilitation Therapy,AL,Athlone Institute of Technology,Health,423,2019
AL842,Bioveterinary Science,AL,Athlone Institute of Technology,Biological and related sciences,310,2019
AL843,Physical Activity and Health Science,AL,Athlone Institute of Technology,Health,310,2019
AL850,Business,AL,Athlone Institute of Technology,Business and administration,307,2019
AL851,Business and Law,AL,Athlone Institute of Technology,Law,301,2019
AL852,Accounting (with optional placement),AL,Athlone Institute of Technology,Business and administration,290,2019
AL853,Accounting and Law,AL,Athlone Institute of Technology,,305,2019
AL855,Hospitality Management (with International placement),AL,Athlone Institute of Technology,Personal services,312,2019
AL857,Digital Marketing,AL,Athlone Institute of Technology,Business and administration,300,2019
AL860,Social Care Practice,AL,Athlone Institute of Technology,Welfare,309,2019
AL861,Animation and Illustration (portfolio),AL,Athlone Institute of Technology,Arts,#615,2019
AL863,Graphic and Digital Design (portfolio),AL,Athlone Institute of Technology,Arts,#703,2019
AL864,Early Years Care and Education,AL,Athlone Institute of Technology,Welfare,307,2019
AL870,Applied Psychology,AL,Athlone Institute of Technology,Social and behavioural sciences,409,2019
CW018,"Business (options, Wexford)",CW,"Institute of Technology, Carlow",Business and administration,327,2019
CW028,Early Childhood Education and Care (Wexford),CW,"Institute of Technology, Carlow",Welfare,252,2019
CW038,"Art (portfolio, Wexford)",CW,"Institute of Technology, Carlow",Arts,#700,2019
CW058,Tourism and Event Management (Wexford),CW,"Institute of Technology, Carlow",Personal services,252,2019
CW068,Applied Social Studies - Professional Social Care (Wexford),CW,"Institute of Technology, Carlow",Welfare,251,2019
CW078,Sustainable Farm Management and Agribusiness (Wexford),CW,"Institute of Technology, Carlow",Agriculture,266,2019
CW088,Visual Communications and Design (Wexford),CW,"Institute of Technology, Carlow",Arts,309,2019
CW108,Science (options),CW,"Institute of Technology, Carlow",Biological and related sciences,261,2019
CW128,Brewing and Distilling,CW,"Institute of Technology, Carlow",Biological and related sciences,271,2019
CW178,Sport Science (options),CW,"Institute of Technology, Carlow",,399,2019
CW188,Sport Rehabilitation and Athletic Therapy,CW,"Institute of Technology, Carlow",Health,454,2019
CW208,Computer Games Development,CW,"Institute of Technology, Carlow",Information and Communication Technologies (ICTs),281,2019
CW238,Software Development,CW,"Institute of Technology, Carlow",Information and Communication Technologies (ICTs),300,2019
CW248,Information Technology Management,CW,"Institute of Technology, Carlow",Information and Communication Technologies (ICTs),307,2019
CW258,Cybercrime and IT Security,CW,"Institute of Technology, Carlow",Information and Communication Technologies (ICTs),300,2019
CW268,Computing in Interactive Digital Art and Design,CW,"Institute of Technology, Carlow",Information and Communication Technologies (ICTs),274,2019
CW438,Construction (options),CW,"Institute of Technology, Carlow",Architecture and construction,271,2019
CW468,Architectural Technology,CW,"Institute of Technology, Carlow",Architecture and construction,252,2019
CW478,Civil Engineering,CW,"Institute of Technology, Carlow",Architecture and construction,348,2019
CW548,Mechanical Engineering,CW,"Institute of Technology, Carlow",Engineering and engineering trades,310,2019
CW558,Electronic Systems,CW,"Institute of Technology, Carlow",Engineering and engineering trades,279,2019
CW568,Aerospace Engineering,CW,"Institute of Technology, Carlow",Engineering and engineering trades,366,2019
CW578,TV and Media Production,CW,"Institute of Technology, Carlow",Arts,327,2019
CW708,Law - LLB,CW,"Institute of Technology, Carlow",Law,298,2019
CW728,Product Design Innovation,CW,"Institute of Technology, Carlow",Arts,286,2019
CW748,Early Childhood Education and Care,CW,"Institute of Technology, Carlow",Welfare,265,2019
CW758,Applied Social Studies - Professional Social Care,CW,"Institute of Technology, Carlow",Welfare,290,2019
CW808,Media and Public Relations,CW,"Institute of Technology, Carlow",Business and administration,248,2019
CW848,Digital Marketing with Analytics,CW,"Institute of Technology, Carlow",Information and Communication Technologies (ICTs),279,2019
CW858,"Sports Management and Coaching (options, portfolio)",CW,"Institute of Technology, Carlow",Personal services,#700,2019
CW908,Business (options),CW,"Institute of Technology, Carlow",Business and administration,260,2019
CW938,Business with Law,CW,"Institute of Technology, Carlow",Business and administration,270,2019
CW948,Accounting,CW,"Institute of Technology, Carlow",Business and administration,301,2019
PC405,"Social, Political and Community Studies",PC,"Carlow College, St. Patrick`s",Social and behavioural sciences,251,2019
PC410,Arts and Humanities (fulfils Teaching Council requirements),PC,"Carlow College, St. Patrick`s",Humanities (except languages),203,2019
PC411,English and History (fulfils Teaching Council requirements),PC,"Carlow College, St. Patrick`s",Humanities (except languages),168,2019
CR105,Chemical and Biopharmaceutical Engineering,CR,Cork Institute of Technology,Engineering and engineering trades,432,2019
CR106,Software Development,CR,Cork Institute of Technology,Information and Communication Technologies (ICTs),351,2019
CR108,Mechanical Engineering,CR,Cork Institute of Technology,Engineering and engineering trades,425,2019
CR109,Structural Engineering,CR,Cork Institute of Technology,Architecture and construction,341,2019
CR110,Automotive Business Management and Technology,CR,Cork Institute of Technology,Transport services,318,2019
CR112,Creative Digital Media,CR,Cork Institute of Technology,Arts,335,2019
