Course Code,Course Title,HEI Code,HEI,ISCED,R1 Points,Year
CR116,Computer Systems,CR,Cork Institute of Technology,Information and Communication Technologies (ICTs),318,2019
CR121,Music at CIT Cork School of Music,CR,Cork Institute of Technology,Arts,#633,2019
CR125,Popular Music: Electric Bass Guitar at CIT Cork School of Music,CR,Cork Institute of Technology,Arts,#972,2019
CR126,Popular Music: Drums at CIT Cork School of Music,CR,Cork Institute of Technology,Arts,#878,2019
CR127,Popular Music: Electric Guitar at CIT Cork School of Music,CR,Cork Institute of Technology,Arts,#584,2019
CR128,Popular Music: Keyboards at CIT Cork School of Music,CR,Cork Institute of Technology,Arts,#839,2019
CR129,Popular Music: Voice at CIT Cork School of Music,CR,Cork Institute of Technology,Arts,#857,2019
CR130,Musical Theatre,CR,Cork Institute of Technology,Arts,#500,2019
CR150,Business Information Systems,CR,Cork Institute of Technology,Business and administration,326,2019
CR210,"Contemporary Applied Art (Ceramics, Glass, Textiles) at CIT Crawford",CR,Cork Institute of Technology,Arts,#979,2019
CR220,Fine Art at CIT Crawford College of Art and Design,CR,Cork Institute of Technology,Arts,#620,2019
CR225,Photography with New Media,CR,Cork Institute of Technology,Arts,#920,2019
CR305,Physical Sciences (Common Entry),CR,Cork Institute of Technology,Physical sciences,279,2019
CR310,IT Management,CR,Cork Institute of Technology,Information and Communication Technologies (ICTs),282,2019
CR320,Biomedical Science (Offered jointly by CIT and UCC),CR,Cork Institute of Technology,Biological and related sciences,546,2019
CR325,Pharmaceutical Biotechnology,CR,Cork Institute of Technology,Biological and related sciences,388,2019
CR333,Nutrition and Health Science,CR,Cork Institute of Technology,Health,360,2019
CR335,Biological Sciences (Common Entry),CR,Cork Institute of Technology,Biological and related sciences,381,2019
CR340,Analytical Chemistry with Quality Assurance,CR,Cork Institute of Technology,Physical sciences,288,2019
CR360,Instrument Engineering,CR,Cork Institute of Technology,Physical sciences,291,2019
CR365,Environmental Science and Sustainable Technology,CR,Cork Institute of Technology,Environment,334,2019
CR370,Agri-Biosciences,CR,Cork Institute of Technology,"Interdisciplinary programmes and qualifications involving agriculture, forestry and veterinary",408,2019
CR400,Accounting,CR,Cork Institute of Technology,Business and administration,316,2019
CR420,Marketing,CR,Cork Institute of Technology,Business and administration,288,2019
CR425,International Business with Language,CR,Cork Institute of Technology,Business and administration,300,2019
CR500,Engineering (Common Entry),CR,Cork Institute of Technology,Engineering and engineering trades,381,2019
CR510,Sustainable Energy Engineering,CR,Cork Institute of Technology,Environment,319,2019
CR520,Biomedical Engineering,CR,Cork Institute of Technology,Health,434,2019
CR560,Architectural Technology,CR,Cork Institute of Technology,Architecture and construction,288,2019
CR565,Interior Architecture,CR,Cork Institute of Technology,Architecture and construction,336,2019
CR570,Quantity Surveying,CR,Cork Institute of Technology,Architecture and construction,279,2019
CR572,Construction Management,CR,Cork Institute of Technology,Architecture and construction,253,2019
CR580,Electrical Engineering,CR,Cork Institute of Technology,Engineering and engineering trades,344,2019
CR590,Electronic Engineering,CR,Cork Institute of Technology,Engineering and engineering trades,342,2019
CR600,Visual Communications,CR,Cork Institute of Technology,Arts,#587,2019
CR660,Tourism Management,CR,Cork Institute of Technology,Personal services,249,2019
CR700,Theatre and Drama Studies at CIT Cork School of Music,CR,Cork Institute of Technology,Arts,#768,2019
CK101,Arts - 3 years,CK,University College Cork (NUI),Arts,300,2019
CK102,Social Science,CK,University College Cork (NUI),Social and behavioural sciences,391,2019
CK104,Arts with Music - 3 or 4 years (BMus or Chinese/European/Int`l Pathway),CK,University College Cork (NUI),Arts,#340,2019
CK105,Film and Screen Media - 3 years or 4 years (International Pathway),CK,University College Cork (NUI),Arts,397,2019
CK107,Geographical and Archaeological Sciences - 3 or 4 years (Int`l Pathway),CK,University College Cork (NUI),Humanities (except languages),326,2019
CK108,Arts International - 4 years,CK,University College Cork (NUI),Languages,429,2019
CK109,English - 3 years or 4 years (International Pathway),CK,University College Cork (NUI),Languages,347,2019
CK110,World Languages,CK,University College Cork (NUI),Languages,456,2019
CK111,Early Years and Childhood Studies,CK,University College Cork (NUI),Welfare,398,2019
CK112,Theatre and Performative Practices - 3 or 4 years (Int`l Pathway),CK,University College Cork (NUI),Arts,#324,2019
CK113,Criminology - 3 years or 4 years (International Pathway),CK,University College Cork (NUI),Social and behavioural sciences,408,2019
CK114,Social Science (Youth and Community Work) - 3 years,CK,University College Cork (NUI),,#,2019
CK115,Social Work - Mature Applicants only,CK,University College Cork (NUI),,#,2019
CK116,Sports Studies and Physical Education,CK,University College Cork (NUI),,499,2019
CK118,Digital Humanities and IT - 3 or 4 years (Work Exper. or Int`l Pathway),CK,University College Cork (NUI),Arts,307,2019
CK120,Applied Psychology,CK,University College Cork (NUI),Social and behavioural sciences,506,2019
CK121,Psychology and Computing - 3 or 4 years (Work Experience Pathway),CK,University College Cork (NUI),Social and behavioural sciences,393,2019
CK122,Government and Political Science,CK,University College Cork (NUI),Social and behavioural sciences,355,2019
CK201,Commerce,CK,University College Cork (NUI),Business and administration,465*,2019
CK202,Accounting,CK,University College Cork (NUI),Business and administration,467,2019
CK203,Business Information Systems,CK,University College Cork (NUI),Information and Communication Technologies (ICTs),409,2019
CK204,Finance,CK,University College Cork (NUI),Business and administration,531,2019
CK205,Commerce (International) with French,CK,University College Cork (NUI),Business and administration,409,2019
CK206,Commerce (International) with German,CK,University College Cork (NUI),Business and administration,408,2019
CK207,Commerce (International) with Italian,CK,University College Cork (NUI),Business and administration,408,2019
CK208,Commerce (International) with Hispanic Studies,CK,University College Cork (NUI),Business and administration,431,2019
CK209,Commerce (International) with Irish,CK,University College Cork (NUI),Business and administration,509,2019
CK211,Commerce (International) with Chinese Studies,CK,University College Cork (NUI),Business and administration,398,2019
CK212,Economics (Transformational Learning) - 3 or 4 years (Int`l Pathway),CK,University College Cork (NUI),Social and behavioural sciences,400,2019
CK301,Law (Pathways) -  3 or 4 years,CK,University College Cork (NUI),Law,476,2019
CK302,Law and French,CK,University College Cork (NUI),Law,453,2019
CK304,Law and Irish,CK,University College Cork (NUI),Law,462,2019
CK307,Law and Business,CK,University College Cork (NUI),Law,522,2019
CK401,Computer Science,CK,University College Cork (NUI),Information and Communication Technologies (ICTs),402,2019
CK402,Biological and Chemical Sciences,CK,University College Cork (NUI),Biological and related sciences,498,2019
CK404,"Biological, Earth and Environmental Sciences",CK,University College Cork (NUI),Biological and related sciences,412,2019
CK405,Genetics,CK,University College Cork (NUI),Biological and related sciences,476,2019
CK406,Chemical Sciences,CK,University College Cork (NUI),Physical sciences,457,2019
CK407,Mathematical Sciences,CK,University College Cork (NUI),Mathematics and statistics,531,2019
CK408,Physics and Astrophysics,CK,University College Cork (NUI),Physical sciences,511,2019
CK409,Industrial Physics (offered jointly by UCC and CIT),CK,University College Cork (NUI),Physical sciences,413,2019
CK411,Data Science and Analytics,CK,University College Cork (NUI),Information and Communication Technologies (ICTs),509,2019
CK412,Agricultural Science,CK,University College Cork (NUI),Agriculture,457,2019
CK502,Food Marketing and Entrepreneurship,CK,University College Cork (NUI),,433,2019
CK504,Nutritional Sciences,CK,University College Cork (NUI),Biological and related sciences,492,2019
CK505,Food Science,CK,University College Cork (NUI),Manufacturing and processing,444,2019
CK506,International Development and Food Policy,CK,University College Cork (NUI),,367,2019
CK600,Engineering,CK,University College Cork (NUI),Engineering and engineering trades,465,2019
CK606,Architecture (offered jointly by UCC and CIT),CK,University College Cork (NUI),Architecture and construction,465,2019
CK701,Medicine (Undergraduate Entry - HPAT required),CK,University College Cork (NUI),Health,#729,2019
CK702,Dentistry,CK,University College Cork (NUI),Health,590,2019
CK703,Pharmacy,CK,University College Cork (NUI),Health,577,2019
CK704,Occupational Therapy,CK,University College Cork (NUI),Health,532*,2019
CK705,Speech and Language Therapy,CK,University College Cork (NUI),Health,509,2019
CK706,Public Health Sciences,CK,University College Cork (NUI),Health,419,2019
CK707,Medical and Health Sciences,CK,University College Cork (NUI),Health,510*,2019
CK710,General Nursing,CK,University College Cork (NUI),Health,440,2019
CK712,Children`s and General Nursing (Integrated),CK,University College Cork (NUI),Health,499,2019
CK720,Mental Health Nursing,CK,University College Cork (NUI),Health,398,2019
CK730,Intellectual Disability Nursing,CK,University College Cork (NUI),Health,359,2019
CK740,Midwifery,CK,University College Cork (NUI),Health,444,2019
CK791,Medicine  - Graduate Entry (GAMSAT required),CK,University College Cork (NUI),Health,#58*,2019
AC120,International Business,AC,American College,Business and administration,234,2019
AC137,Liberal Arts,AC,American College,Humanities (except languages),252,2019
CT125,Information Technology,CT,CCT College Dublin,Information and Communication Technologies (ICTs),235,2019
CM001,Education - Primary Teaching,CM,Marino Institute of Education,Education,452*,2019
CM002,Education - Primary Teaching - Gaeltacht Applicants,CM,Marino Institute of Education,,#421,2019
CM003,Oideachas - Bunmhúinteoireacht Trí Mheán na Gaeilge,CM,Marino Institute of Education,Education,#491,2019
CM004,Oideachas - Bunmhúinteoireacht Trí Mheán na Gaeilge (daltaí Gaeltachta),CM,Marino Institute of Education,Education,#492,2019
CM010,Education Studies,CM,Marino Institute of Education,Education,317,2019
CM020,Early Childhood Education,CM,Marino Institute of Education,Education,336,2019
DB500,Computing,DB,Dublin Business School,Information and Communication Technologies (ICTs),242,2019
DB501,Computing (Cloud Computing),DB,Dublin Business School,Information and Communication Technologies (ICTs),326,2019
DB502,Computing (Data Analytics and Big Data),DB,Dublin Business School,Information and Communication Technologies (ICTs),269,2019
DB503,Computing (Software Development),DB,Dublin Business School,Information and Communication Technologies (ICTs),242,2019
DB504,Computing (Web and Mobile Technology),DB,Dublin Business School,,227,2019
DB510,Audio Production and Music Project Management,DB,Dublin Business School,Arts,233,2019
DB512,Business Studies,DB,Dublin Business School,Business and administration,229,2019
DB514,Business Studies (Law),DB,Dublin Business School,Business and administration,269,2019
DB515,Business Studies (Human Resource Management),DB,Dublin Business School,Business and administration,225,2019
DB516,Financial Services,DB,Dublin Business School,,328,2019
DB517,Event Management,DB,Dublin Business School,Business and administration,226,2019
DB518,Marketing (Digital Media),DB,Dublin Business School,,210,2019
DB521,Accounting and Finance,DB,Dublin Business School,Business and administration,225,2019
DB524,Business Information Systems,DB,Dublin Business School,Information and Communication Technologies (ICTs),402,2019
DB525,Marketing (Digital Media and Cloud Computing),DB,Dublin Business School,,284,2019
DB526,Business Information Systems (Cloud Computing),DB,Dublin Business School,Information and Communication Technologies (ICTs),253,2019
DB527,Applied Social Care,DB,Dublin Business School,Social and behavioural sciences,235,2019
DB531,Marketing,DB,Dublin Business School,Business and administration,220,2019
DB562,Psychology,DB,Dublin Business School,Social and behavioural sciences,208,2019
DB566,Social Science,DB,Dublin Business School,Social and behavioural sciences,216,2019
DB567,Film,DB,Dublin Business School,Arts,192,2019
DB568,Law,DB,Dublin Business School,Law,245,2019
DB569,Business (Psychology),DB,Dublin Business School,Business and administration,279,2019
DC001,Education - Early Childhood Education,DC,Dublin City University,Education,398,2019
DC002,Education - Primary Teaching,DC,Dublin City University,Education,462*,2019
DC003,Education - Primary Teaching - Gaeltacht Applicants,DC,Dublin City University,Education,#433,2019
DC004,Education - Primary Teaching (Church of Ireland Centre formerly CICE),DC,Dublin City University,Education,#357,2019
DC005,Education - Primary Teaching - Irish Sign Language,DC,Dublin City University,,#316,2019
DC009,Arts (Joint Honours) - Humanities,DC,Dublin City University,Arts,347,2019
DC010,Post Primary Teacher Education - Religious Education and English,DC,Dublin City University,Education,386,2019
DC011,Post Primary Teacher Education - Religious Education and History,DC,Dublin City University,Education,352,2019
DC012,Post Primary Teacher Education - Religious Education and Music,DC,Dublin City University,Education,#367,2019
DC013,Post Primary Teacher Ed - Gaeilge with French/German/Spanish,DC,Dublin City University,Education,410,2019
DC014,BA in Jazz and Contemporary Music Performance,DC,Dublin City University,Arts,#428,2019
DC110,Business Studies International,DC,Dublin City University,Languages,440,2019
DC111,Business Studies,DC,Dublin City University,Business and administration,463,2019
DC112,Global Business (France),DC,Dublin City University,Business and administration,495,2019
DC113,Global Business (Germany),DC,Dublin City University,Business and administration,440,2019
DC114,Global Business (Spain),DC,Dublin City University,Business and administration,501,2019
DC115,Accounting and Finance,DC,Dublin City University,Business and administration,487,2019
DC116,Global Business (USA),DC,Dublin City University,Business and administration,578,2019
DC117,Aviation Management / Aviation Management with Pilot Studies,DC,Dublin City University,Engineering and engineering trades,463,2019
DC118,Gnó agus Gaeilge / Business and Irish,DC,Dublin City University,Business and administration,357,2019
DC119,Global Business (Canada),DC,Dublin City University,Business and administration,566,2019
DC120,Enterprise Computing,DC,Dublin City University,Information and Communication Technologies (ICTs),350,2019
DC121,Computer Applications,DC,Dublin City University,Information and Communication Technologies (ICTs),370,2019
DC123,Data Science,DC,Dublin City University,Information and Communication Technologies (ICTs),467,2019
DC126,Actuarial Mathematics,DC,Dublin City University,Mathematics and statistics,520,2019
DC127,Common Entry into Actuarial and Financial Mathematics,DC,Dublin City University,Mathematics and statistics,509,2019
DC131,Communication Studies,DC,Dublin City University,Humanities (except languages),400,2019
DC132,Journalism,DC,Dublin City University,Journalism and information,401,2019
DC133,Multimedia,DC,Dublin City University,Arts,403,2019
DC155,Applied Language and Translation Studies,DC,Dublin City University,Languages,371,2019
DC161,Analytical Science,DC,Dublin City University,Physical sciences,446,2019
DC162,Chemical and Pharmaceutical Sciences,DC,Dublin City University,Physical sciences,488,2019
DC166,Environmental Science and Technology,DC,Dublin City University,Environment,412,2019
DC167,Physics with Astronomy,DC,Dublin City University,,434,2019
DC168,Genetics and Cell Biology,DC,Dublin City University,Biological and related sciences,489,2019
DC171,Applied Physics,DC,Dublin City University,,402,2019
DC173,Physics with Biomedical Sciences,DC,Dublin City University,,402,2019
DC181,Biotechnology,DC,Dublin City University,Biological and related sciences,476,2019
DC190,Electronic and Computer Engineering (with choice of four majors),DC,Dublin City University,Engineering and engineering trades,391,2019
DC193,Mechatronic Engineering,DC,Dublin City University,Engineering and engineering trades,404,2019
DC195,Mechanical and Manufacturing Engineering,DC,Dublin City University,Engineering and engineering trades,401,2019
DC197,Biomedical Engineering,DC,Dublin City University,Health,402,2019
DC200,Common Entry into Engineering (Undenominated Entry),DC,Dublin City University,Engineering and engineering trades,381,2019
DC201,Common Entry into Science (Undenominated Entry),DC,Dublin City University,Biological and related sciences,454,2019
DC202,Sport Science and Health,DC,Dublin City University,Health,467,2019
DC203,Science Education,DC,Dublin City University,Education,424,2019
DC204,Athletic Therapy and Training,DC,Dublin City University,Health,484,2019
DC205,Physical Education with Biology,DC,Dublin City University,Education,490,2019
DC206,Physical Education with Mathematics,DC,Dublin City University,Education,443,2019
DC208,Psychology,DC,Dublin City University,Social and behavioural sciences,509,2019
DC209,Health and Society,DC,Dublin City University,Health,419,2019
DC215,General Nursing,DC,Dublin City University,Health,414,2019
DC216,Mental Health Nursing,DC,Dublin City University,Health,368,2019
DC217,Intellectual Disability Nursing,DC,Dublin City University,Health,347,2019
DC218,Children`s and General Nursing (Integrated),DC,Dublin City University,Health,467,2019
DC230,"Economics, Politics and Law",DC,Dublin City University,Social and behavioural sciences,400,2019
DC231,International Relations,DC,Dublin City University,Social and behavioural sciences,387,2019
DC232,Law and Society (BCL),DC,Dublin City University,Law,453,2019
DC235,Education and Training - Daytime Delivery Mode (full-time),DC,Dublin City University,Education,307,2019
DC238,Social Sciences and Cultural Innovation,DC,Dublin City University,Humanities (except languages),358,2019
DC240,"Marketing, Innovation and Technology",DC,Dublin City University,Business and administration,451,2019
DC291,Arts (Joint Honours) - Media Studies,DC,Dublin City University,Arts,349,2019
DC292,Arts (Joint Honours) - Law,DC,Dublin City University,Arts,356,2019
DC293,Arts (Joint Honours) - International Languages,DC,Dublin City University,Arts,369,2019
DC295,Arts (Joint Honours) - Politics,DC,Dublin City University,Arts,348,2019
DT001,Product Design,DT,,,433,2019
DT028,Transport Operations and Technology,DT,,,279,2019
DT035,Electrical Services and Energy Management,DT,,,293,2019
DT066,Engineering (General Entry),DT,,,400,2019
DT101,Architecture (test and interview),DT,,,#618,2019
DT106,Planning and Environmental Management,DT,,,312,2019
DT110,Property Economics (Valuation Surveying),DT,,,367,2019
DT111,Quantity Surveying and Construction Economics,DT,,,391,2019
DT112,Geographic Science,DT,,,287,2019
DT117,Construction Management,DT,,,356,2019
DT175,Architectural Technology,DT,,,388,2019
DT201,Science (General Entry),DT,,,464,2019
DT203,Analytical Chemistry (Environmental Forensic and Pharmaceutical),DT,,,341,2019
DT204,Biomedical Science,DT,,,501,2019
DT205,Mathematical Sciences,DT,,,315,2019
DT206,Biomedical and Molecular Diagnostics,DT,,,473,2019
DT211,Computer Science (Infrastructure),DT,,,381,2019
DT220,Industrial Mathematics,DT,,,300,2019
DT221,Physics with Energy and Environment,DT,,,348,2019
DT222,Physics Technology,DT,,,321,2019
DT223,Human Nutrition and Dietetics,DT,,,553,2019
DT224,Optometry,DT,,,487,2019
DT225,Public Health Nutrition,DT,,,440,2019
DT227,Science with Nanotechnology,DT,,,312,2019
DT228,Computer Science,DT,,,451,2019
DT229,Clinical Measurement Science,DT,,,491,2019
DT235,Physics with Medical Physics and Bioengineering,DT,,,357,2019
DT282,Computer Science (International),DT,,,377,2019
DT299,Chemical Sciences with Medicinal Chemistry,DT,,,420,2019
DT302,Business Analytics,DT,,,325,2019
DT304,E-Commerce in Retailing,DT,,,341,2019
DT321,Business and Law,DT,,,462,2019
DT341,Marketing,DT,,,400,2019
DT343,Retail and Services Management,DT,,,301,2019
DT354,Business Computing,DT,,,322,2019
DT358,Logistics and Supply Chain Management,DT,,,300,2019
DT365,Business and Management,DT,,,440,2019
DT366,Accounting and Finance,DT,,,432,2019
DT398,Human Resource Management,DT,,,375,2019
DT399,Economics and Finance,DT,,,437,2019
DT401,International Hospitality Management,DT,,,300,2019
DT405,Culinary Science,DT,,,308,2019
DT407,Culinary Arts,DT,,,271,2019
DT412,Tourism Marketing,DT,,,284,2019
DT413,Event Management,DT,,,356,2019
DT416,Culinary Entrepreneurship,DT,,,275,2019
DT420,Nutraceuticals in Health and Nutrition,DT,,,392,2019
DT421,Food Innovation,DT,,,321,2019
DT422,Pharmaceutical Healthcare,DT,,,397,2019
DT491,Environmental Health,DT,,,343,2019
DT501,Music,DT,,,#383,2019
DT504,Film and Broadcasting,DT,,,443,2019
DT506,Commercial Modern Music,DT,,,#468,2019
DT508,Game Design,DT,,,403,2019
DT517,Languages and English Studies,DT,,,326,2019
DT518,Languages and International Tourism,DT,,,307,2019
DT529,Drama (Performance),DT,,,#371,2019
DT532,Law (LL.B.),DT,,,422,2019
DT533,Contemporary Visual Culture,DT,,,#,2019
DT544,Interior Design,DT,,,#552,2019
DT545,Design - Visual Communication,DT,,,#667,2019
DT546,Fine Art,DT,,,#668,2019
DT555,International Business and Languages,DT,,,353,2019
DT559,Photography,DT,,,#700,2019
DT571,Social Care,DT,,,394,2019
DT572,Early Childhood Education,DT,,,385,2019
DT582,Journalism,DT,,,347,2019
DT596,Print Media Technology and Management,DT,,,252,2019
DT597,Creative and Cultural Industries,DT,,,280,2019
DL821,"English, Media and Cultural Studies",DL,"Dun Laoghaire Institute of Art, Design and Technology",Humanities (except languages),211,2019
DL822,Arts Management,DL,"Dun Laoghaire Institute of Art, Design and Technology",Business and administration,209,2019
DL823,Business Studies - Entrepreneurship and Management,DL,"Dun Laoghaire Institute of Art, Design and Technology",Business and administration,260,2019
DL825,Applied Psychology,DL,"Dun Laoghaire Institute of Art, Design and Technology",Social and behavioural sciences,349,2019
DL826,Visual Communication Design,DL,"Dun Laoghaire Institute of Art, Design and Technology",Arts,#736,2019
DL827,Art,DL,"Dun Laoghaire Institute of Art, Design and Technology",Arts,#583,2019
DL828,"3D Design, Modelmaking and Digital Art",DL,"Dun Laoghaire Institute of Art, Design and Technology",Arts,#691,2019
DL829,Design for Stage and Screen (Costume Design),DL,"Dun Laoghaire Institute of Art, Design and Technology",Arts,#817,2019
DL830,Design for Stage and Screen (Makeup Design),DL,"Dun Laoghaire Institute of Art, Design and Technology",Arts,#879,2019
DL831,Design for Stage and Screen (Production Design),DL,"Dun Laoghaire Institute of Art, Design and Technology",Arts,#893,2019
DL832,Animation,DL,"Dun Laoghaire Institute of Art, Design and Technology",Arts,#855,2019
DL833,Photography,DL,"Dun Laoghaire Institute of Art, Design and Technology",Arts,#636,2019
DL834,Film and Television Production,DL,"Dun Laoghaire Institute of Art, Design and Technology",Arts,#933,2019
DL835,Creative Media Technologies,DL,"Dun Laoghaire Institute of Art, Design and Technology",,237,2019
DL836,Creative Computing,DL,"Dun Laoghaire Institute of Art, Design and Technology",Information and Communication Technologies (ICTs),217,2019
DL837,New Media Studies,DL,"Dun Laoghaire Institute of Art, Design and Technology",Humanities (except languages),290,2019
DL838,Creative Music Production,DL,"Dun Laoghaire Institute of Art, Design and Technology",Arts,#746,2019
GC200,Business Studies (Cork),GC,Griffith College,Business and administration,269,2019
GC201,Accounting and Finance (Cork),GC,Griffith College,Business and administration,251,2019
GC230,Computing Science (Cork),GC,Griffith College,Information and Communication Technologies (ICTs),228,2019
GC300,Business Studies (Limerick),GC,Griffith College,Business and administration,251,2019
GC301,Accounting and Finance,GC,Griffith College,Business and administration,307,2019
GC302,"Business Studies - (HRM, Limerick)",GC,Griffith College,,269,2019
GC305,International Hospitality Management (Limerick),GC,Griffith College,Personal services,327,2019
GC400,Business Studies (Dublin),GC,Griffith College,Business and administration,246,2019
GC401,Accounting and Finance (Dublin),GC,Griffith College,Business and administration,181,2019
GC402,"Business Studies (HRM, Dublin)",GC,Griffith College,Business and administration,217,2019
GC403,Law (Dublin),GC,Griffith College,Law,225,2019
GC405,International Hospitality Management (Dublin),GC,Griffith College,,254,2019
