COURSE CODE2,COURSE TITLE,HEI,CATEGORY (i.e.ISCED description),R1 POINTS
LM122,Creative Media and Interaction Design (Digital Design/Music Media Tech),University of Limerick,Information and Communication Technologies (ICTs),327
LM123,Biological & Chemical Sciences (Biosci/Envir Sci/Ind Bio/IndPharma Chem),University of Limerick,Biological and related sciences,441
LM124,Mathematics (Math Science/Maths and Physics/Economics and Maths),University of Limerick,Mathematics and statistics,437
LM125,Physics (Applied Physics or Mathematics & Physics),University of Limerick,Physical sciences,404
LM150,General Nursing,University of Limerick,Health,475
LM152,Mental Health Nursing,University of Limerick,Health,419
LM154,Intellectual Disability Nursing,University of Limerick,Health,420
LM156,Midwifery,University of Limerick,Health,469
LY108,Business - Accounting,Letterkenny Institute of Technology,Business and administration,309
LY118,Business,Letterkenny Institute of Technology,Business and administration,290
LY208,Law,Letterkenny Institute of Technology,Law,300
LY228,Sports and Exercise - Common Entry,Letterkenny Institute of Technology,Personal services,300
LY408,Design - Common Entry,Letterkenny Institute of Technology,Arts,320
LY508,Fire Safety Engineering,Letterkenny Institute of Technology,Architecture and construction,276
LY518,Quantity Surveying,Letterkenny Institute of Technology,Architecture and construction,301
LY528,Construction Management,Letterkenny Institute of Technology,Architecture and construction,271
LY608,Mechanical Engineering,Letterkenny Institute of Technology,Engineering and engineering trades,300
LY618,Electronic Engineering,Letterkenny Institute of Technology,Engineering and engineering trades,312
LY708,Applied Computing,Letterkenny Institute of Technology,Information and Communication Technologies (ICTs),306
LY748,Computer Science,Letterkenny Institute of Technology,Information and Communication Technologies (ICTs),317
LY818,Science - Common Entry,Letterkenny Institute of Technology,Biological and related sciences,303
LY828,Agriculture - Common Entry,Letterkenny Institute of Technology,Agriculture,307
LY908,General Nursing,Letterkenny Institute of Technology,Health,400
LY918,Psychiatric Nursing,Letterkenny Institute of Technology,Health,357
LY928,Intellectual Disability Nursing,Letterkenny Institute of Technology,Health,326
LY968,"Early Childhood Care, Health and Education",Letterkenny Institute of Technology,Welfare,303
LY978,Health & Social Care - Common Entry,Letterkenny Institute of Technology,Health,280
MH001,Education - Primary Teaching (Froebel),Maynooth University,Education,507
MH101,Arts,Maynooth University,Humanities (except languages),318
MH103,Music,Maynooth University,Arts,#
MH106,Psychology - 3 years,Maynooth University,Social and behavioural sciences,521
MH107,Social Science,Maynooth University,Social and behavioural sciences,346
MH109,Media Studies,Maynooth University,Arts,316
MH116,Community and Youth Work (Full-Time),Maynooth University,Welfare,#
MH201,Science,Maynooth University,"Interdisciplinary programmes and qualifications involving natural sciences, Mathematics and statistics",360
MH202,Biotechnology,Maynooth University,Biological and related sciences,455
MH203,Biological and Geographical Sciences,Maynooth University,Biological and related sciences,430
MH204,Physics with Astrophysics,Maynooth University,Physical sciences,422
MH206,Theoretical Physics and Mathematics,Maynooth University,Mathematics and statistics,510
MH207,Data Science,Maynooth University,Information and Communication Technologies (ICTs),445
MH208,Biological and Biomedical Sciences,Maynooth University,Biological and related sciences,498
MH209,Psychology (through Science) - 4 years,Maynooth University,Social and behavioural sciences,498
MH210,Pharmaceutical and Biomedical Chemistry,Maynooth University,Physical sciences,487
MH212,Science or Maths & Computer Science or Maths & Applied Maths (with Ed),Maynooth University,"Interdisciplinary programmes and qualifications involving natural sciences, Mathematics and statistics",422
MH304,Engineering (Computer/Electronic/Communications),Maynooth University,Engineering and engineering trades,333
MH305,Product Design,Maynooth University,Engineering and engineering trades,357
MH306,Robotics and Intelligent Devices,Maynooth University,Engineering and engineering trades,361
MH401,Finance (options),Maynooth University,Business and administration,357
MH402,Quantitative Finance,Maynooth University,Business and administration,476
MH403,Accounting and Finance,Maynooth University,Business and administration,422
MH404,Business (options),Maynooth University,Business and administration,430
MH405,Equine Business,Maynooth University,Business and administration,357
MH407,Business and Accounting,Maynooth University,Business and administration,420
MH411,Entrepreneurship,Maynooth University,Business and administration,371
MH501,LLB Law - four year Single Major Law programme,Maynooth University,Law,473
MH502,Law (options),Maynooth University,Law,451
MH601,Computer Science through Arts (options),Maynooth University,Information and Communication Technologies (ICTs),352
MH602,Computer Science through Science (options),Maynooth University,Information and Communication Technologies (ICTs),351
MH603,Computational Thinking,Maynooth University,Information and Communication Technologies (ICTs),532
MH801,Early Childhood - Teaching and Learning (part-time),Maynooth University,Education,327
MH802,"Community and Youth Work (part-time, in service)",Maynooth University,Welfare,#
MH803,"Local Studies/Community Studies (part-time, evening) - Mature Students",Maynooth University,Social and behavioural sciences,#
MI001,Contemporary & Applied Theatre Studies,Mary Immaculate College,Arts,375
MI002,Arts,Mary Immaculate College,Arts,300
MI004,Education - Primary Teaching - International,Mary Immaculate College,Education,577
MI005,Education - Primary Teaching,Mary Immaculate College,Education,495
MI006,Education - Primary Teaching - Gaeltacht Applicants,Mary Immaculate College,Education,456
MI007,Early Childhood Care and Education,Mary Immaculate College,Education,357
MI008,Education and Psychology - Primary Teaching,Mary Immaculate College,Education,588
MI009,"Education, Business Studies and Accounting",Mary Immaculate College,Education,402
MI010,"Education, Business Studies and Religious Studies",Mary Immaculate College,Education,368
MI011,"Education, Gaeilge and Religious Studies",Mary Immaculate College,Education,409
MI012,"Education, Gaeilge and Business Studies",Mary Immaculate College,Education,401
MI013,"Education, Mathematics and Gaeilge",Mary Immaculate College,Education,444
MI014,"Education, Mathematics and Business Studies",Mary Immaculate College,Education,434
MU001,Theology and Arts,"Pontifical University, St Patrick's College",Interdisciplinary programmes and qualifications involving arts and humanities,290
MU002,Theology,"Pontifical University, St Patrick's College",Interdisciplinary programmes and qualifications involving arts and humanities,440
NC003,Computing (Degree Award options),National College of Ireland (NCI),Information and Communication Technologies (ICTs),260
NC005,Human Resource Management,National College of Ireland (NCI),Business and administration,300
NC009,Business,National College of Ireland (NCI),Business and administration,300
NC010,Psychology,National College of Ireland (NCI),Social and behavioural sciences,400
NC020,Marketing Practice,National College of Ireland (NCI),Business and administration,280
NC022,Accounting and Finance,National College of Ireland (NCI),Business and administration,337
NC023,Technology Management (with specialisations),National College of Ireland (NCI),Information and Communication Technologies (ICTs),261
NM801,Montessori Education,St Nicholas Montessori College Ireland,Education,220
PC405,"Social, Political and Community Studies","Carlow College, St. Patrick`s",Social and behavioural sciences,253
PC410,Arts and Humanities (fulfils Teaching Council requirements),"Carlow College, St. Patrick`s",Humanities (except languages),252
PC411,English and History (fulfils Teaching Council requirements),"Carlow College, St. Patrick`s",Humanities (except languages),255
RC001,Medicine - Undergraduate Entry (HPAT required),RCSI University of Medicine & Health Sciences,Health,733
RC004,Physiotherapy,RCSI University of Medicine & Health Sciences,Health,566
RC005,Pharmacy,RCSI University of Medicine & Health Sciences,Health,579
SG141,Business,"Institute of Technology, Sligo",Business and administration,261
SG142,Business in International Marketing and Languages (French),"Institute of Technology, Sligo",Business and administration,279
SG144,Business in International Marketing and Languages (Spanish),"Institute of Technology, Sligo",Business and administration,270
SG146,Accounting,"Institute of Technology, Sligo",Business and administration,309
SG147,Sport with Business,"Institute of Technology, Sligo",Personal services,307
SG148,Tourism with Event Management,"Institute of Technology, Sligo",Personal services,269
SG241,Performing Arts,"Institute of Technology, Sligo",Arts,328
SG242,Early Childhood Care and Education,"Institute of Technology, Sligo",Welfare,279
SG243,Social Care Practice,"Institute of Technology, Sligo",Welfare,301
SG244,Fine Art,"Institute of Technology, Sligo",Arts,505
SG245,Creative Design,"Institute of Technology, Sligo",Arts,282
SG246,Computing,"Institute of Technology, Sligo",Information and Communication Technologies (ICTs),290
SG247,English and Psychology,"Institute of Technology, Sligo",Social and behavioural sciences,309
SG248,Sociology and Politics,"Institute of Technology, Sligo",Social and behavioural sciences,281
SG249,Writing and Literature,"Institute of Technology, Sligo",Languages,297
SG250,Application Design and User Experience,"Institute of Technology, Sligo",Information and Communication Technologies (ICTs),412
SG251,Computing (Smart Technologies),"Institute of Technology, Sligo",Information and Communication Technologies (ICTs),327
SG252,Software Development,"Institute of Technology, Sligo",Information and Communication Technologies (ICTs),307
SG253,Computer Networks and Cloud Infrastructure,"Institute of Technology, Sligo",Information and Communication Technologies (ICTs),324
SG254,Writing and Literature Online,"Institute of Technology, Sligo",Languages,225
SG342,Civil Engineering,"Institute of Technology, Sligo",Architecture and construction,415
SG343,Quantity Surveying,"Institute of Technology, Sligo",Architecture and construction,311
SG346,Construction Project Management and Applied Technology,"Institute of Technology, Sligo",Architecture and construction,291
SG347,Architecture,"Institute of Technology, Sligo",Architecture and construction,360
SG348,Interior Architecture and Design,"Institute of Technology, Sligo",Architecture and construction,316
SG442,Occupational Safety and Health,"Institute of Technology, Sligo",Hygiene and occupational health services,290
SG443,Human Nutrition,"Institute of Technology, Sligo",Health,356
SG444,Science Undenominated,"Institute of Technology, Sligo",Biological and related sciences,338
SG445,Pharmaceutical Science with Drug Development,"Institute of Technology, Sligo",Physical sciences,311
SG447,Health Science and Physical Activity,"Institute of Technology, Sligo",Health,328
SG448,Forensic Investigation and Analysis,"Institute of Technology, Sligo",Biological and related sciences,306
SG449,Medical Biotechnology,"Institute of Technology, Sligo",Health,341
SG450,Environmental Science with Ecology (Level 8),"Institute of Technology, Sligo",Environment,300
TL801,"Animation, Visual Effects and Motion Design (Level 8)","Institute of Technology, Tralee",Arts,281
TL802,"TV, Radio and New Media (Level 8)","Institute of Technology, Tralee",Arts,325
TL810,Computing with Software Development,"Institute of Technology, Tralee",Information and Communication Technologies (ICTs),310
TL811,Computing with Games Development,"Institute of Technology, Tralee",Information and Communication Technologies (ICTs),358
TL815,Computing (Degree Award options),"Institute of Technology, Tralee",Information and Communication Technologies (ICTs),308
TL823,Event Management (3 year programme),"Institute of Technology, Tralee",Personal services,299
TL831,Business Studies (Major Specialism in: Acctng or Mktg or Mgmnt),"Institute of Technology, Tralee",Business and administration,306
TL844,Agricultural Engineering,"Institute of Technology, Tralee","Interdisciplinary programmes and qualifications involving agriculture, forestry and veterinary",300
TL845,Civil Engineering,"Institute of Technology, Tralee",Architecture and construction,325
TL847,Manufacturing Engineering,"Institute of Technology, Tralee",Manufacturing and processing,302
TL848,Agricultural Science,"Institute of Technology, Tralee","Interdisciplinary programmes and qualifications involving agriculture, forestry and veterinary",308
TL851,Wildlife Biology (Degree Award options),"Institute of Technology, Tralee",Environment,309
TL855,Pharmaceutical Science (Degree Award options),"Institute of Technology, Tralee",Health,317
TL858,Veterinary Bioscience,"Institute of Technology, Tralee",Veterinary,308
TL871,Health and Leisure (Degree Award options),"Institute of Technology, Tralee",Personal services,300
TL872,Health and Leisure with Massage,"Institute of Technology, Tralee",Personal services,309
TL873,Coaching and Sports Performance,"Institute of Technology, Tralee",Personal services,289
TL880,Early Childhood Care and Education,"Institute of Technology, Tralee",Welfare,307
TL881,Social Care,"Institute of Technology, Tralee",Welfare,308
TL890,General Nursing and Mature Applicants,"Institute of Technology, Tralee",Health,440
TL891,Mental Health Nursing and Mature Applicants,"Institute of Technology, Tralee",Health,389
TR002,Music,Trinity College Dublin,Arts,435
TR003,History,Trinity College Dublin,Humanities (except languages),497
TR004,Law,Trinity College Dublin,Law,566
TR005,Philosophy,Trinity College Dublin,Humanities (except languages),442
TR006,Psychology,Trinity College Dublin,Social and behavioural sciences,567
TR007,Clinical Speech and Language Studies,Trinity College Dublin,Health,529
TR009,Music Education,Trinity College Dublin,Education,420
TR012,History and Political Science,Trinity College Dublin,Humanities (except languages),555
TR015,"Philosophy, Political Science, Economics and Sociology",Trinity College Dublin,Social and behavioural sciences,589
TR016,Deaf Studies,Trinity College Dublin,Languages,340
TR017,Law and Business,Trinity College Dublin,Law,602
TR018,Law and French,Trinity College Dublin,Law,565
TR019,Law and German,Trinity College Dublin,Law,543
TR020,Law and Political Science,Trinity College Dublin,Law,602
TR021,"Classics, Ancient History and Archaeology",Trinity College Dublin,Humanities (except languages),370
TR022,Early and Modern Irish,Trinity College Dublin,Languages,398
TR023,English Studies,Trinity College Dublin,Languages,487
TR024,European Studies,Trinity College Dublin,Humanities (except languages),544
TR025,Drama and Theatre Studies,Trinity College Dublin,Arts,564
TR028,Ancient and Medieval History and Culture,Trinity College Dublin,Humanities (except languages),342
TR029,Political Science and Geography,Trinity College Dublin,Social and behavioural sciences,526
TR031,Mathematics,Trinity College Dublin,Mathematics and statistics,531
TR032,Engineering,Trinity College Dublin,Engineering and engineering trades,510
TR033,Computer Science,Trinity College Dublin,Information and Communication Technologies (ICTs),509
TR034,Management Science and Information Systems Studies,Trinity College Dublin,Business and administration,613
TR035,Theoretical Physics,Trinity College Dublin,Physical sciences,543
TR038,Engineering with Management,Trinity College Dublin,Engineering and engineering trades,532
TR039,Computer Science and Language,Trinity College Dublin,Information and Communication Technologies (ICTs),454
TR040,Middle Eastern and European Languages and Cultures,Trinity College Dublin,Languages,466
TR041,Religion,Trinity College Dublin,Humanities (except languages),368
TR042,Film,Trinity College Dublin,Arts,489
TR043,History of Art and Architecture,Trinity College Dublin,Humanities (except languages),393
TR051,Medicine (HPAT required),Trinity College Dublin,Health,735
TR052,Dental Science,Trinity College Dublin,Health,613
TR053,Physiotherapy,Trinity College Dublin,Health,566
TR054,Occupational Therapy,Trinity College Dublin,Health,533
TR055,Radiation Therapy,Trinity College Dublin,Health,543
TR056,Human Health and Disease,Trinity College Dublin,Health,565
TR060,Biological and Biomedical Sciences,Trinity College Dublin,Biological and related sciences,543
TR061,Chemical Sciences,Trinity College Dublin,Physical sciences,517
TR062,Geography and Geoscience,Trinity College Dublin,Physical sciences,473
TR063,Physical Sciences,Trinity College Dublin,Physical sciences,498
TR072,Pharmacy,Trinity College Dublin,Health,590
TR080,Global Business,Trinity College Dublin,Business and administration,589
TR081,"Business, Economic and Social Studies (BESS)",Trinity College Dublin,Social and behavioural sciences,543
TR082,Computer Science and Business,Trinity College Dublin,Business and administration,555
TR083,Sociology and Social Policy,Trinity College Dublin,Social and behavioural sciences,498
TR084,Social Studies (Social Work),Trinity College Dublin,Welfare,462
TR085,Business Studies and French,Trinity College Dublin,Business and administration,540
TR086,Business Studies and German,Trinity College Dublin,Business and administration,509
TR087,Business Studies and Russian,Trinity College Dublin,Business and administration,474
TR089,Business Studies and Polish,Trinity College Dublin,Business and administration,444
TR090,Business Studies and Spanish,Trinity College Dublin,Business and administration,531
TR091,General Nursing (Meath and St James`s),Trinity College Dublin,Health,429
TR093,General Nursing (Adelaide School of Nursing),Trinity College Dublin,Health,430
TR095,Mental Health Nursing,Trinity College Dublin,Health,408
TR097,Intellectual Disability Nursing,Trinity College Dublin,Health,396
TR111,Ancient History and Archaeology/Geography,Trinity College Dublin,Arts,352
TR112,Ancient History and Archaeology/History,Trinity College Dublin,Arts,529
TR113,Ancient History and Archaeology/History of Art and Architecture,Trinity College Dublin,Arts,337
TR114,Ancient History and Archaeology/Modern Language,Trinity College Dublin,Arts,337
TR117,Ancient History and Archaeology/Religion,Trinity College Dublin,Arts,342
TR166,Classical Civilisation/English Literature,Trinity College Dublin,Arts,498
TR173,Classical Civilisation/History of Art and Architecture,Trinity College Dublin,Arts,335
TR177,Classical Civilisation/Modern Language,Trinity College Dublin,Arts,335
TR179,Classical Civilisation/Philosophy,Trinity College Dublin,Arts,499
TR198,Economics/Geography,Trinity College Dublin,Arts,534
TR202,Economics/History,Trinity College Dublin,Arts,534
TR207,Economics/Mathematics,Trinity College Dublin,Arts,566
TR208,Economics/Modern Language,Trinity College Dublin,Arts,534
TR209,Economics/Philosophy,Trinity College Dublin,Arts,534
TR212,Economics/Sociology,Trinity College Dublin,Arts,534
TR228,Classical Languages/English Literature,Trinity College Dublin,Interdisciplinary programmes and qualifications involving arts and humanities,498
TR231,Classical Languages/History of Art and Architecture,Trinity College Dublin,Interdisciplinary programmes and qualifications involving arts and humanities,349
TR233,"Classical Languages/Middle Eastern,Jewish and Islamic Civilisations",Trinity College Dublin,Interdisciplinary programmes and qualifications involving arts and humanities,349
TR239,Classical Languages/Modern Language,Trinity College Dublin,Arts,349
TR262,English Literature/History,Trinity College Dublin,Arts,529
TR263,English Literature/History of Art and Architecture,Trinity College Dublin,Arts,498
TR269,English Literature/Philosophy,Trinity College Dublin,Arts,499
TR272,English Literature/Sociology,Trinity College Dublin,Arts,498
TR276,English Literature/Drama Studies,Trinity College Dublin,Arts,#498
TR277,English Literature/Modern Language,Trinity College Dublin,Arts,498
TR311,Film/Drama Studies,Trinity College Dublin,Arts,#521
TR312,Film/English Literature,Trinity College Dublin,Arts,521
TR320,Film/Music,Trinity College Dublin,Arts,521
TR322,Geography/History,Trinity College Dublin,Arts,529
TR323,Drama Studies/Modern Language,Trinity College Dublin,Arts,#473
TR324,Film/Modern Language,Trinity College Dublin,Arts,521
TR325,Film/History,Trinity College Dublin,Arts,529
TR326,Geography/Modern Language,Trinity College Dublin,Arts,352
TR332,Geography/Sociology,Trinity College Dublin,Arts,498
TR443,History/History of Art and Architecture,Trinity College Dublin,Arts,529
TR447,History/Modern Language,Trinity College Dublin,Arts,529
TR449,History/Philosophy,Trinity College Dublin,Arts,529
TR452,History/Sociology,Trinity College Dublin,Arts,529
TR454,History/Religion,Trinity College Dublin,Arts,529
TR455,History of Art and Architecture/Modern Language,Trinity College Dublin,Arts,334
TR479,History of Art and Architecture/Philosophy,Trinity College Dublin,Arts,499
TR547,"Middle Eastern,Jewish and Islamic Civ./Ancient History and Archaeology",Trinity College Dublin,Arts,337
TR548,"Middle Eastern,Jewish and Islamic Civilisations/Classical Civilisation",Trinity College Dublin,Arts,335
TR554,"Middle Eastern,Jewish and Islamic Civilisations/History",Trinity College Dublin,Arts,529
TR563,"Middle Eastern,Jewish and Islamic Civilisations/Modern Language",Trinity College Dublin,Arts,335
TR565,"Middle Eastern,Jewish and Islamic Civilisations/Religion",Trinity College Dublin,Arts,342
TR597,Mathematics/Modern Language,Trinity College Dublin,Arts,566
TR598,Mathematics/Music,Trinity College Dublin,Arts,566
TR599,Mathematics/Philosophy,Trinity College Dublin,Arts,566
TR629,Music/Philosophy,Trinity College Dublin,Arts,499
TR635,Music/Drama Studies,Trinity College Dublin,Arts,#473
TR636,Music/Modern Language,Trinity College Dublin,Arts,388
TR638,Music/Religion,Trinity College Dublin,Arts,388
TR639,Philosophy/Modern Language,Trinity College Dublin,Arts,499
TR662,Philosophy/Sociology,Trinity College Dublin,Arts,499
TR663,Religion/Classical Civilisation,Trinity College Dublin,Arts,342
TR664,Religion/English Literature,Trinity College Dublin,Arts,498
TR665,Religion/History of Art and Architecture,Trinity College Dublin,Arts,342
TR667,French/Modern Language,Trinity College Dublin,Arts,403
TR668,German/Modern Language,Trinity College Dublin,Arts,389
TR669,Irish/Modern Language,Trinity College Dublin,Arts,368
TR670,Italian/Modern Language,Trinity College Dublin,Arts,381
TR671,Russian/Modern Language,Trinity College Dublin,Arts,332
TR672,Spanish/Modern Language,Trinity College Dublin,Arts,336
TR755,Sociology/Drama Studies,Trinity College Dublin,Arts,#498
TR756,Sociology/Modern Language,Trinity College Dublin,Arts,498
TR911,Children`s and General Nursing (Integrated),Trinity College Dublin,Health,511
TR913,Midwifery,Trinity College Dublin,Health,478
TU801,Biomedical Design,Technological University Dublin,Engineering and engineering trades,235
TU802,Electrical Services and Energy Management,Technological University Dublin,Engineering and engineering trades,317
TU803,Electronic Engineering,Technological University Dublin,Engineering and engineering trades,243
TU804,Engineering (Common Entry with Award options),Technological University Dublin,Engineering and engineering trades,271
TU805,Engineering (General Entry),Technological University Dublin,Engineering and engineering trades,402
TU806,Sustainable Energy Engineering,Technological University Dublin,Engineering and engineering trades,262
TU807,Computer Engineering in Mobile Systems,Technological University Dublin,Engineering and engineering trades,276
TU808,Engineering Software,Technological University Dublin,Engineering and engineering trades,260
TU809,Mechanical Engineering,Technological University Dublin,Engineering and engineering trades,235
TU810,Mechatronic Engineering,Technological University Dublin,Engineering and engineering trades,270
TU811,Product Design,Technological University Dublin,Arts,411
TU812,"Design,Technology and Innovation",Technological University Dublin,Manufacturing and processing,270
TU813,Automation Engineering,Technological University Dublin,Engineering and engineering trades,218
TU814,Transport Operations and Technology,Technological University Dublin,Transport services,285
TU831,Architectural Technology,Technological University Dublin,Architecture and construction,410
TU832,Architecture (Suitability Test and Interview),Technological University Dublin,Architecture and construction,622
TU833,Construction Management,Technological University Dublin,Architecture and construction,367
TU834,Geographic Science,Technological University Dublin,Architecture and construction,288
TU835,Planning and Environmental Management,Technological University Dublin,Architecture and construction,313
TU836,Property Economics (Valuation Surveying),Technological University Dublin,Architecture and construction,401
TU837,Quantity Surveying and Construction Economics,Technological University Dublin,Architecture and construction,385
TU851,Analytical Chemistry (Environmental Forensic and Pharmaceutical),Technological University Dublin,Environment,349
TU852,Chemical Sciences with Medicinal Chemistry,Technological University Dublin,Physical sciences,476
TU854,Science (General Entry),Technological University Dublin,Biological and related sciences,476
TU855,Science with Nanotechnology,Technological University Dublin,Physical sciences,331
TU856,Computer Science,Technological University Dublin,Information and Communication Technologies (ICTs),476
TU857,Computer Science (Infrastructure),Technological University Dublin,Information and Communication Technologies (ICTs),391
TU858,Computer Science (International),Technological University Dublin,Information and Communication Technologies (ICTs),377
TU859,Computing,Technological University Dublin,Information and Communication Technologies (ICTs),217
TU860,Computing (Information Technology),Technological University Dublin,Information and Communication Technologies (ICTs),260
TU861,Computing with Language (French/German/Spanish),Technological University Dublin,Information and Communication Technologies (ICTs),308
TU862,Computing with Data Analytics,Technological University Dublin,Information and Communication Technologies (ICTs),226
TU863,Digital Forensics and Cyber Security,Technological University Dublin,Information and Communication Technologies (ICTs),280
TU864,DNA and Forensic Analysis,Technological University Dublin,Biological and related sciences,400
TU865,Computing with IT Management,Technological University Dublin,Information and Communication Technologies (ICTs),226
TU866,Biomedical and Molecular Diagnostics,Technological University Dublin,Health,487
TU867,Biomedical Science,Technological University Dublin,Health,524
TU868,Clinical Measurement Science,Technological University Dublin,Health,510
TU869,Environmental Health,Technological University Dublin,Hygiene and occupational health services,336
TU870,Human Nutrition and Dietetics,Technological University Dublin,Health,578
TU871,Optometry,Technological University Dublin,Health,509
TU872,Public Health Nutrition,Technological University Dublin,Biological and related sciences,491
TU873,Industrial Mathematics,Technological University Dublin,Mathematics and statistics,250
TU874,Mathematical Sciences,Technological University Dublin,Mathematics and statistics,341
TU875,Pharmaceutical Healthcare,Technological University Dublin,Biological and related sciences,400
TU876,Pharmaceutical Science,Technological University Dublin,Biological and related sciences,377
TU877,Physics Technology,Technological University Dublin,Physical sciences,308
TU878,Physics with Energy and Environment,Technological University Dublin,Physical sciences,337
TU879,Physics with Medical Physics and Bioengineering,Technological University Dublin,Health,351
TU880,Physics with Data Science,Technological University Dublin,Physical sciences,578
TU881,Food Innovation,Technological University Dublin,Manufacturing and processing,318
TU882,Nutraceuticals in Health and Nutrition,Technological University Dublin,Biological and related sciences,397
TU901,Business,Technological University Dublin,Business and administration,270
TU902,Business (Common Entry with Award options),Technological University Dublin,Business and administration,271
TU903,Business and Management,Technological University Dublin,Business and administration,463
TU904,Business and Law,Technological University Dublin,Business and administration,462
TU905,Economics and Finance,Technological University Dublin,Social and behavioural sciences,465
TU906,Human Resource Management,Technological University Dublin,Business and administration,395
TU907,Logistics and Supply Chain Management,Technological University Dublin,Business and administration,300
TU908,Management,Technological University Dublin,Business and administration,262
TU909,Accounting and Finance,Technological University Dublin,Business and administration,285
TU910,Accounting and Finance,Technological University Dublin,Business and administration,444
TU911,Accounting and Finance,Technological University Dublin,Business and administration,209
TU912,Business Analytics,Technological University Dublin,Information and Communication Technologies (ICTs),330
TU913,Business and Information Technology,Technological University Dublin,Business and administration,252
TU914,Business Computing,Technological University Dublin,Information and Communication Technologies (ICTs),324
TU915,International Business,Technological University Dublin,Business and administration,252
TU916,International Business,Technological University Dublin,Business and administration,235
TU917,Law (LLB ) with a Language,Technological University Dublin,Law,342
TU918,Law (LLB),Technological University Dublin,Law,451
TU919,Advertising and Marketing Communications,Technological University Dublin,Business and administration,228
TU920,Digital Marketing,Technological University Dublin,Business and administration,270
TU921,Digital Marketing Technologies,Technological University Dublin,Business and administration,212
TU922,Marketing,Technological University Dublin,Business and administration,418
TU923,Marketing Management,Technological University Dublin,Business and administration,228
TU924,E-Commerce in Retailing,Technological University Dublin,Business and administration,307
TU925,Retail and Services Management,Technological University Dublin,Business and administration,301
TU935,Sports Management and Coaching,Technological University Dublin,Personal services,300
TU936,Sports Science and Health,Technological University Dublin,Biological and related sciences,410
TU941,Botanical Cuisine,Technological University Dublin,Personal services,249
TU942,Culinary Arts,Technological University Dublin,Personal services,212
TU943,Culinary Entrepreneurship,Technological University Dublin,Personal services,278
TU944,Culinary Science,Technological University Dublin,Personal services,316
TU951,International Hospitality and Tourism Management,Technological University Dublin,Personal services,184
TU952,International Hospitality Management,Technological University Dublin,Personal services,300
TU953,Tourism and Digital Marketing,Technological University Dublin,Personal services,290
TU954,Event Management,Technological University Dublin,Personal services,356
TU955,Sports & Leisure Management,Technological University Dublin,Personal services,217
TU961,Commercial Modern Music,Technological University Dublin,Arts,608
TU962,Drama (Performance),Technological University Dublin,Arts,379
TU963,Music,Technological University Dublin,Arts,416
TU965,International Business and Languages,Technological University Dublin,Business and administration,356
TU966,Languages and English Studies,Technological University Dublin,Languages,366
TU967,Languages and International Tourism,Technological University Dublin,Arts,308
TU971,Contemporary Visual Culture,Technological University Dublin,Arts,290
TU972,Creative and Cultural Industries,Technological University Dublin,Arts,281
TU973,Design - Visual Communication,Technological University Dublin,Arts,717
TU974,Fine Art,Technological University Dublin,Arts,709
TU975,Interior Design,Technological University Dublin,Arts,632
TU976,Photography,Technological University Dublin,Arts,695
TU981,Creative Digital Media,Technological University Dublin,Arts,280
TU982,Creative Digital Media,Technological University Dublin,Arts,320
TU983,Film and Broadcasting,Technological University Dublin,Arts,456
TU984,Game Design,Technological University Dublin,Information and Communication Technologies (ICTs),381
TU985,Journalism,Technological University Dublin,Journalism and information,322
TU986,Print Media Technology and Management,Technological University Dublin,Business and administration,289
TU991,Applied Social Studies in Social Care,Technological University Dublin,Welfare,325
TU992,Community and Youth Development,Technological University Dublin,Social and behavioural sciences,251
TU993,Early Childhood Care and Education,Technological University Dublin,Welfare,270
TU994,Early Childhood Care and Education,Technological University Dublin,Welfare,321
TU995,Early Childhood Education,Technological University Dublin,Education,367
TU996,Social Care,Technological University Dublin,Social and behavioural sciences,400
TU997,Applied Social Care,Technological University Dublin,Welfare,310
WD001,Applied Computing (options),Waterford Institute of Technology,Information and Communication Technologies (ICTs),260
WD002,Science (options),Waterford Institute of Technology,Physical sciences,308
WD005,Health Sciences (options),Waterford Institute of Technology,Health,280
WD006,Exercise Sciences (options),Waterford Institute of Technology,Personal services,280
WD007,Engineering (options),Waterford Institute of Technology,Engineering and engineering trades,288
WD025,Construction Management and Engineering,Waterford Institute of Technology,Architecture and construction,269
WD027,Music,Waterford Institute of Technology,Arts,262
WD048,Business (options),Waterford Institute of Technology,Business and administration,271
WD084,Accounting,Waterford Institute of Technology,Business and administration,308
WD091,Hospitality Management,Waterford Institute of Technology,Personal services,228
WD116,General Nursing,Waterford Institute of Technology,Health,422
WD117,Psychiatric Nursing,Waterford Institute of Technology,Health,366
WD120,Intellectual Disability Nursing,Waterford Institute of Technology,Health,377
WD134,International Business,Waterford Institute of Technology,Business and administration,290
WD137,Design (Visual Communications),Waterford Institute of Technology,Arts,271
WD140,Laws,Waterford Institute of Technology,Law,280
WD144,Architecture,Waterford Institute of Technology,Architecture and construction,284
WD147,Pharmaceutical Science,Waterford Institute of Technology,Physical sciences,293
WD149,Early Childhood Studies,Waterford Institute of Technology,Welfare,271
WD150,Criminal Justice Studies,Waterford Institute of Technology,Law,270
WD152,Visual Art,Waterford Institute of Technology,Arts,AQA
WD161,Computer Forensics and Security,Waterford Institute of Technology,Information and Communication Technologies (ICTs),255
WD162,Quantity Surveying,Waterford Institute of Technology,Architecture and construction,216
