CATEGORY (ISCED Description),Course Title,Course Code,R1 Points,R1 Random,R2 Points ,R2 Random,EOS Points,EOS Random,EOS Midpoints,Course Level,HEI,Test/Interview,AVP,v
Personal services,Hospitality Management (with international placement),AL855,309,,,,309,,378,8,Athlone Institute of Technology,,,
Business and administration,Digital Marketing,AL857,304,,,,304,,398,8,Athlone Institute of Technology,,,
Business and administration,International Business,AL859,308,,,,308,,371,8,Athlone Institute of Technology,,,
Welfare,Social Care Practice,AL860,301,,,,301,,359,8,Athlone Institute of Technology,,,
Arts,Animation and Illustration (portfolio),AL861,575,,,,575,,760,8,Athlone Institute of Technology,#,,
Arts,Graphic and Digital Design (portfolio),AL863,747,,,,747,,808,8,Athlone Institute of Technology,#,,
Welfare,Early Years Care and Education,AL864,306,,,,306,,366,8,Athlone Institute of Technology,,,
Social and behavioural sciences,Applied Psychology,AL870,484,*,467,*,452,,480,8,Athlone Institute of Technology,,,
Business and administration,Business,CW006,171,,157,,157,,281,6,"Institute of Technology, Carlow",,avp,
Business and administration,Business (options),CW018,307,,,,307,,381,8,"Institute of Technology, Carlow",,,
Agriculture,Sustainable Farm Management and Agribusiness,CW027,236,,222,,222,,342,7,"Institute of Technology, Carlow",,,
Welfare,Early Childhood Education and Care,CW028,260,,,,260,,378,8,"Institute of Technology, Carlow",,,
Business and administration,Business (options),CW037,279,,,,279,,429,7,"Institute of Technology, Carlow",,,
Arts,Art (portfolio),CW038,#700,,,,700,,700,8,"Institute of Technology, Carlow",#,,
Arts,Visual Communications and Design,CW047,241,,,,270,,372,7,"Institute of Technology, Carlow",,,
Information and Communication Technologies (ICTs),Creative Computing and Digital Innovation,CW048,,,,,,,0,8,"Institute of Technology, Carlow",,,
Arts,Art (portfolio),CW057,#700,,,,700,,700,7,"Institute of Technology, Carlow",#,,
Personal services,Tourism and Event Management,CW058,292,,,,292,,356,8,"Institute of Technology, Carlow",,,
Welfare,Applied Social Studies in Professional Social Care,CW068,250,,,,250,,306,8,"Institute of Technology, Carlow",,,
Personal services,Tourism and Event Management,CW077,223,,,,223,,398,7,"Institute of Technology, Carlow",,,
Agriculture,Sustainable Farm Management and Agribusiness,CW078,270,,,,270,,363,8,"Institute of Technology, Carlow",,,
Information and Communication Technologies (ICTs),Creative Computing and Digital Innovation,CW087,,,,,,,0,7,"Institute of Technology, Carlow",,,
Arts,Visual Communications and Design,CW088,270,,,,270,,290,8,"Institute of Technology, Carlow",,,
Health,Physiology and Health Science,CW106,451,,,,451,,528,6,"Institute of Technology, Carlow",,,
Environment,Analytical Science,CW107,261,,,,261,,466,7,"Institute of Technology, Carlow",,,
Biological and related sciences,Science (options),CW108,266,,,,266,,361,8,"Institute of Technology, Carlow",,,
Health,Pharmacy Technician Studies,CW116,224,,,,224,,376,6,"Institute of Technology, Carlow",,,
Environment,Biosciences,CW117,215,,,,215,,445,7,"Institute of Technology, Carlow",,,
Biological and related sciences,Science - Applied Biology or Applied Chemistry,CW126,251,,,,251,,408,6,"Institute of Technology, Carlow",,,
Manufacturing and processing,Brewing and Distilling,CW128,307,,,,307,,349,8,"Institute of Technology, Carlow",,,
Personal services,Sport and Exercise Science,CW138,430,,423,,423,,462,8,"Institute of Technology, Carlow",,,
Personal services,Strength and Conditioning,CW148,388,,,,388,,409,8,"Institute of Technology, Carlow",,,
Health,Sport Rehabilitation and Athletic Therapy,CW188,451,,,,451,,488,8,"Institute of Technology, Carlow",,,
Information and Communication Technologies (ICTs),Computing - Applications or Programming,CW206,236,,,,236,,299,6,"Institute of Technology, Carlow",,,
Information and Communication Technologies (ICTs),Software Development,CW207,245,,,,245,,395,7,"Institute of Technology, Carlow",,,
Information and Communication Technologies (ICTs),Computer Games Development,CW208,272,,,,272,,333,8,"Institute of Technology, Carlow",,,
Information and Communication Technologies (ICTs),Information Technology Management,CW217,269,,,,269,,368,7,"Institute of Technology, Carlow",,,
Information and Communication Technologies (ICTs),Cybercrime and IT Security,CW227,220,,,,220,,360,7,"Institute of Technology, Carlow",,,
Information and Communication Technologies (ICTs),Computing in Interactive Digital Art and Design,CW237,227,,,,227,,378,7,"Institute of Technology, Carlow",,,
Information and Communication Technologies (ICTs),Software Development,CW238,295,,,,295,,387,8,"Institute of Technology, Carlow",,,
Information and Communication Technologies (ICTs),Information Technology Management,CW248,293,,,,293,,338,8,"Institute of Technology, Carlow",,,
Information and Communication Technologies (ICTs),Cybercrime and IT Security,CW258,292,,,,292,,382,8,"Institute of Technology, Carlow",,,
Information and Communication Technologies (ICTs),Computing in Interactive Digital Art and Design,CW268,291,,,,291,,384,8,"Institute of Technology, Carlow",,,
Architecture and construction,Architectural Technology,CW407,234,,,,234,,369,7,"Institute of Technology, Carlow",,,
Architecture and construction,Construction Management with Building Services,CW417,225,,205,,205,,361,7,"Institute of Technology, Carlow",,,
Architecture and construction,Civil Engineering,CW427,208,,,,208,,346,7,"Institute of Technology, Carlow",,,
Architecture and construction,Construction (options),CW438,260,,251,,251,,336,8,"Institute of Technology, Carlow",,,
Architecture and construction,Architectural Technology,CW468,291,,283,,283,,353,8,"Institute of Technology, Carlow",,,
Architecture and construction,Civil Engineering,CW478,465,,,,465,,465,8,"Institute of Technology, Carlow",,,
Engineering and engineering trades,Aircraft Systems,CW507,293,,,,293,,408,7,"Institute of Technology, Carlow",,,
Engineering and engineering trades,Mechanical Engineering,CW517,290,,280,,280,,400,7,"Institute of Technology, Carlow",,,
Engineering and engineering trades,Electronic Engineering,CW527,226,,,,226,,371,7,"Institute of Technology, Carlow",,,
Arts,TV and Media Production,CW547,303,,,,303,,382,7,"Institute of Technology, Carlow",,,
Engineering and engineering trades,Mechanical Engineering,CW548,330,,328,,328,,396,8,"Institute of Technology, Carlow",,,
Engineering and engineering trades,Electronic Systems,CW558,280,,,,280,,380,8,"Institute of Technology, Carlow",,,
Engineering and engineering trades,Aerospace Engineering,CW568,371,,359,,359,,433,8,"Institute of Technology, Carlow",,,
Arts,TV and Media Production,CW578,318,,,,318,,358,8,"Institute of Technology, Carlow",,,
Law,Legal Studies,CW706,174,,,,174,,357,6,"Institute of Technology, Carlow",,,
Arts,Industrial Design,CW707,241,,,,241,,478,7,"Institute of Technology, Carlow",,,
Law,Law - LLB,CW708,292,,,,292,,390,8,"Institute of Technology, Carlow",,,
Welfare,Professional Social Care Practice,CW717,271,,262,,262,,360,7,"Institute of Technology, Carlow",,,
Arts,Product Design Innovation,CW728,246,,,,246,,370,8,"Institute of Technology, Carlow",,,
Welfare,Early Childhood Education and Care,CW748,290,,,,290,,377,8,"Institute of Technology, Carlow",,,
Welfare,Professional Social Care Practice,CW758,360,,358,,358,,397,8,"Institute of Technology, Carlow",,,
Personal services,Sport Coaching and Business Management - GAA (portfolio),CW807,700,,,,700,,700,7,"Institute of Technology, Carlow",#,,
Business and administration,Media and Public Relations,CW808,247,,,,247,,316,8,"Institute of Technology, Carlow",,,
Personal services,Sport Coaching and Business Management - Rugby (portfolio),CW817,700,,,,700,,700,7,"Institute of Technology, Carlow",#,,
Personal services,Sport Coaching and Business Management - Soccer (portfolio),CW827,700,,,,700,,700,7,"Institute of Technology, Carlow",#,,
Business and administration,Digital Marketing with Analytics,CW837,215,,,,215,,349,7,"Institute of Technology, Carlow",,,
Business and administration,Digital Marketing with Analytics,CW848,269,,,,269,,336,8,"Institute of Technology, Carlow",,,
Personal services,"Sports Management and Coaching (options, portfolio)",CW858,700,,,,700,,700,8,"Institute of Technology, Carlow",#,,
Business and administration,Business,CW906,164,,,,164,,309,6,"Institute of Technology, Carlow",,,
Business and administration,Business (options),CW908,272,,,,272,,348,8,"Institute of Technology, Carlow",,,
Business and administration,Business (options),CW917,228,,,,228,,387,7,"Institute of Technology, Carlow",,,
Business and administration,Business with Law,CW926,204,,,,204,,440,6,"Institute of Technology, Carlow",,,
Business and administration,Accounting,CW936,207,,,,207,,442,6,"Institute of Technology, Carlow",,,
Business and administration,Business with Law,CW938,270,,,,270,,382,8,"Institute of Technology, Carlow",,,
Business and administration,Accounting,CW948,319,,,,319,,454,8,"Institute of Technology, Carlow",,,
Humanities (except languages),Arts and Humanities,PC402,203,,113,,113,,418,7,"Carlow College, St. Patrick`s",,avp,
Welfare,Applied Social Studies - Professional Social Care,PC404,200,,100,,100,,270,7,"Carlow College, St. Patrick`s",,avp,
Social and behavioural sciences,"Social, Political and Community Studies",PC405,263,,235,,235,,298,8,"Carlow College, St. Patrick`s",,avp,
Humanities (except languages),Arts and Humanities (fulfils Teaching Council requirements),PC410,262,,230,,230,,336,8,"Carlow College, St. Patrick`s",,avp,
Humanities (except languages),English and History (fulfils Teaching Council requirements),PC411,243,,224,,224,,356,8,"Carlow College, St. Patrick`s",,avp,
Physical sciences,Applied Physics and Instrumentation,CR001,292,,,,292,,498,7,Cork Institute of Technology,,,
Biological and related sciences,Applied Biosciences,CR006,420,,,,420,,521,7,Cork Institute of Technology,,,
Physical sciences,Analytical and Pharmaceutical Chemistry,CR007,272,,,,272,,531,7,Cork Institute of Technology,,,
Agriculture,Agriculture (Year 1 - 2 days in Clonakilty Agri College and 3 days in CI,CR010,336,,,,336,,453,7,Cork Institute of Technology,,,
