CATEGORY (ISCED Description),Course Title,Course Code,R1 Points,R1 Random,R2 Points ,R2 Random,EOS Points,EOS Random,EOS Midpoints,Course Level,HEI,Test/Interview,AVP,v
Information and Communication Technologies (ICTs),Digital Forensics and Cyber Security,TU863,282,,,,282,,346,8,Technological University Dublin,,,
Biological and related sciences,DNA and Forensic Analysis,TU864,500,,441,,441,,465,8,Technological University Dublin,,,
Information and Communication Technologies (ICTs),Cloud Computing,TU865,235,,,,235,,308,8,Technological University Dublin,,,
Health,Biomedical and Molecular Diagnostics,TU866,522,,,,522,,540,8,Technological University Dublin,,,
Health,Biomedical Science,TU867,576,,566,*,565,,578,8,Technological University Dublin,,,
Health,Clinical Measurement Science,TU868,542,,,,542,,554,8,Technological University Dublin,,,
Hygiene and occupational health services,Environmental Health,TU869,387,,,,387,,434,8,Technological University Dublin,,,
Health,Human Nutrition and Dietetics,TU870,601,*,,,600,,613,8,Technological University Dublin,,,
Health,Optometry,TU871,532,,,,532,,544,8,Technological University Dublin,,,
Biological and related sciences,Public Health Nutrition,TU872,487,,,,487,,521,8,Technological University Dublin,,,
Mathematics and statistics,Mathematical Sciences,TU874,294,,294,,294,,434,8,Technological University Dublin,,avp,
Biological and related sciences,Pharmaceutical Healthcare,TU875,451,,,,451,,477,8,Technological University Dublin,,,
Biological and related sciences,Pharmaceutical Science,TU876,445,,,,445,,474,8,Technological University Dublin,,,
Physical sciences,Physics Technology,TU877,314,,314,,314,,422,8,Technological University Dublin,,avp,
Physical sciences,Physics with Energy and Environment,TU878,339,,,,339,,408,8,Technological University Dublin,,,
Health,Physics with Medical Physics and Bioengineering,TU879,346,,,,346,,430,8,Technological University Dublin,,,
Physical sciences,Physics with Data Science,TU880,412,,,,412,,532,8,Technological University Dublin,,,
Manufacturing and processing,Food Innovation,TU881,309,,,,309,,423,8,Technological University Dublin,,,
Biological and related sciences,Nutraceuticals in Health and Nutrition,TU882,380,,,,380,,447,8,Technological University Dublin,,,
Business and administration,Business (options),TU902,270,,,,270,,327,8,Technological University Dublin,,,
Business and administration,Business and Management,TU903,477,,,,477,,509,8,Technological University Dublin,,,
Business and administration,Business and Law,TU904,462,,,,462,,486,8,Technological University Dublin,,,
Social and behavioural sciences,Economics and Finance,TU905,460,,,,460,,488,8,Technological University Dublin,,,
Business and administration,Human Resource Management,TU906,386,,377,,377,,412,8,Technological University Dublin,,,
Business and administration,Logistics and Supply Chain Management,TU907,300,,,,300,,367,8,Technological University Dublin,,,
Business and administration,Accounting,TU910,420,,,,420,,462,8,Technological University Dublin,,,
Information and Communication Technologies (ICTs),Business Analytics,TU912,331,,311,,311,,367,8,Technological University Dublin,,,
Information and Communication Technologies (ICTs),Business Computing,TU914,322,,,,322,,377,8,Technological University Dublin,,,
Law,Law (LLB ) with a Language,TU917,356,,,,356,,451,8,Technological University Dublin,,,
Law,Law (LLB),TU918,463,,,,463,,499,8,Technological University Dublin,,,
Business and administration,Advertising and Marketing Communications,TU919,219,,,,219,,327,8,Technological University Dublin,,,
Business and administration,Digital Marketing,TU920,270,,,,270,,339,8,Technological University Dublin,,,
Business and administration,Digital Marketing Technologies,TU921,230,,,,230,,298,8,Technological University Dublin,,,
Business and administration,Marketing,TU922,412,,,,412,,446,8,Technological University Dublin,,,
Business and administration,E-Commerce in Retailing,TU924,307,,,,307,,380,8,Technological University Dublin,,,
Business and administration,Retail and Services Management,TU925,307,,,,307,,368,8,Technological University Dublin,,,
Business and administration,Business (options),TU932,211,,,,211,,337,8,Technological University Dublin,,,
Business and administration,Accounting and Finance (campus options),TU933,251,,,,251,,346,8,Technological University Dublin,,,
Personal services,Sports Management and Coaching,TU935,300,,,,300,,368,8,Technological University Dublin,,,
Biological and related sciences,Sports Science and Health,TU936,484,,,,484,,498,8,Technological University Dublin,,,
Personal services,Botanical Cuisine,TU941,311,,,,311,,380,8,Technological University Dublin,,,
Personal services,Culinary Arts,TU942,252,,,,252,,348,8,Technological University Dublin,,,
Personal services,Culinary Entrepreneurship,TU943,261,,,,261,,387,8,Technological University Dublin,,,
Personal services,Culinary Science,TU944,336,,,,336,,393,8,Technological University Dublin,,,
Personal services,International Hospitality and Tourism Management,TU951,244,,,,244,,316,8,Technological University Dublin,,,
Personal services,International Hospitality Management,TU952,309,,,,309,,398,8,Technological University Dublin,,,
Personal services,Tourism and Digital Marketing,TU953,308,,,,308,,366,8,Technological University Dublin,,,
Personal services,Event Management,TU954,326,,,,326,,402,8,Technological University Dublin,,,
Personal services,Sports and Leisure Management,TU955,275,,,,275,,349,8,Technological University Dublin,,,
Arts,Commercial Modern Music (BIMM - assessment/audition),TU961,536,,536,,536,,881,8,Technological University Dublin,#,avp,
Arts,"Drama (Performance, audition)",TU962,448,,,,448,,551,8,Technological University Dublin,#,,
Arts,Music (audition),TU963,364,,,,364,,561,8,Technological University Dublin,#,avp,
Business and administration,International Business and Languages,TU965,357,,,,357,,442,8,Technological University Dublin,,,
Arts,Languages and International Tourism,TU967,298,,,,298,,390,8,Technological University Dublin,,,
Arts,Design - Visual Communication (portfolio),TU973,700,,,,700,,953,8,Technological University Dublin,#,,
Arts,Fine Art (portfolio),TU974,549,,,,549,,704,8,Technological University Dublin,#,,
Arts,Interior Design (portfolio),TU975,544,,,,544,,919,8,Technological University Dublin,#,,
Arts,Photography (portfolio),TU976,700,,,,700,,952,8,Technological University Dublin,#,,
Arts,Creative Industries and Visual Culture,TU978,299,,,,299,,440,8,Technological University Dublin,,,
Arts,Creative Digital Media,TU981,280,,,,280,,347,8,Technological University Dublin,,,
Arts,Media Production and Digital Arts,TU982,369,,,,369,,412,8,Technological University Dublin,,,
Arts,Film and Broadcasting,TU983,462,,453,,453,,496,8,Technological University Dublin,,,
Information and Communication Technologies (ICTs),Game Design,TU984,414,,,,414,,455,8,Technological University Dublin,,,
Journalism and information,Journalism,TU985,367,,,,367,,409,8,Technological University Dublin,,,
Education,Early Childhood Care and Education (campus options),TU989,270,,,,270,,337,8,Technological University Dublin,,,
Welfare,Applied Social Studies in Social Care,TU991,326,,,,326,,356,8,Technological University Dublin,,,
Social and behavioural sciences,Community Development and Youth Work,TU992,251,,,,251,,311,8,Technological University Dublin,,,
Education,Early Childhood Education,TU995,378,,,,378,,412,8,Technological University Dublin,,,
Social and behavioural sciences,Social Care,TU996,407,,,,407,,440,8,Technological University Dublin,,,
Welfare,Applied Social Care,TU997,320,,,,320,,368,8,Technological University Dublin,,,
Arts,Music,TR002,508,,477,*,477,*,513,8,Trinity College Dublin,#,,
Humanities (except languages),History,TR003,552,,543,*,531,,558,8,Trinity College Dublin,,,
Law,Law,TR004,590,*,589,,589,,601,8,Trinity College Dublin,,,
Humanities (except languages),Philosophy,TR005,510,,497,,456,,510,8,Trinity College Dublin,,,
Social and behavioural sciences,Psychology,TR006,601,*,590,,578,*,602,8,Trinity College Dublin,,,
Health,Clinical Speech and Language Studies,TR007,564,*,,,555,*,577,8,Trinity College Dublin,,,
Education,Music Education,TR009,496,,486,,486,,530,8,Trinity College Dublin,#,,
Social and behavioural sciences,"Philosophy, Political Science, Economics and Sociology",TR015,613,*,613,*,613,*,625,8,Trinity College Dublin,,,
Languages,Deaf Studies,TR016,389,,,,389,,440,8,Trinity College Dublin,,,
Law,Law and French,TR018,602,*,602,,600,*,613,8,Trinity College Dublin,,,
Law,Law and German,TR019,577,,567,,567,,588,8,Trinity College Dublin,,,
Humanities (except languages),"Classics, Ancient History and Archaeology",TR021,467,,462,,419,,501,8,Trinity College Dublin,,,
Languages,Early and Modern Irish,TR022,377,,,,377,,473,8,Trinity College Dublin,,,
Languages,English Studies,TR023,546,,541,*,533,,555,8,Trinity College Dublin,,,
Humanities (except languages),European Studies,TR024,566,,,,566,,589,8,Trinity College Dublin,,,
Arts,Drama and Theatre Studies,TR025,543,,519,,509,,552,8,Trinity College Dublin,#,,
Humanities (except languages),Ancient and Medieval History and Culture,TR028,498,,463,,382,,474,8,Trinity College Dublin,,,
Mathematics and statistics,Mathematics,TR031,579,,578,,577,,613,8,Trinity College Dublin,,,
Engineering and engineering trades,Engineering,TR032,556,,555,,554,*,581,8,Trinity College Dublin,,,
Information and Communication Technologies (ICTs),Computer Science,TR033,566,*,549,,543,,578,8,Trinity College Dublin,,,
Business and administration,Management Science and Information Systems Studies,TR034,625,*,625,*,625,*,625,8,Trinity College Dublin,,,
Physical sciences,Theoretical Physics,TR035,590,,589,*,589,,613,8,Trinity College Dublin,,,
Engineering and engineering trades,Engineering with Management,TR038,589,*,589,*,589,*,613,8,Trinity College Dublin,,,
Information and Communication Technologies (ICTs),"Computer Science, Linguistics and a Language",TR039,443,,,,443,,531,8,Trinity College Dublin,,,
Languages,Middle Eastern and European Languages and Cultures,TR040,520,,499,,397,,531,8,Trinity College Dublin,,,
Humanities (except languages),Religion,TR041,417,,,,417,,476,8,Trinity College Dublin,,,
Arts,Film,TR042,531,,522,,518,,532,8,Trinity College Dublin,,,
Humanities (except languages),History of Art and Architecture,TR043,498,,486,,467,,519,8,Trinity College Dublin,,,
Health,Medicine (HPAT required),TR051,743,*,743,*,743,,751,8,Trinity College Dublin,#,,
Health,Dental Science,TR052,625,*,625,*,625,*,625,8,Trinity College Dublin,,,
Health,Physiotherapy,TR053,590,*,,,590,*,601,8,Trinity College Dublin,,,
Health,Occupational Therapy,TR054,578,*,577,*,577,*,589,8,Trinity College Dublin,,,
Health,Radiation Therapy,TR055,577,,566,,566,,577,8,Trinity College Dublin,,,
Health,Human Health and Disease,TR056,601,*,,,601,,613,8,Trinity College Dublin,,,
Biological and related sciences,Biological and Biomedical Sciences,TR060,578,*,577,*,577,,590,8,Trinity College Dublin,,,
Physical sciences,Chemical Sciences,TR061,558,,554,*,542,,564,8,Trinity College Dublin,,,
Physical sciences,Geography and Geoscience,TR062,495,,,,490,,531,8,Trinity College Dublin,,,
Physical sciences,Physical Sciences,TR063,554,,543,,521,,566,8,Trinity College Dublin,,,
Environment,Environmental Science and Engineering,TR064,555,,,,555,,578,8,Trinity College Dublin,,,
Health,Pharmacy,TR072,613,*,613,*,613,*,625,8,Trinity College Dublin,,,
Business and administration,Global Business,TR080,613,*,,,613,*,625,8,Trinity College Dublin,,,
Social and behavioural sciences,"Business, Economic and Social Studies (BESS)",TR081,577,,567,*,566,*,589,8,Trinity College Dublin,,,
Welfare,Social Studies (Social Work),TR084,497,,487,*,484,*,508,8,Trinity College Dublin,,,
Business and administration,Business Studies and French,TR085,564,,,,564,,577,8,Trinity College Dublin,,,
Business and administration,Business Studies and German,TR086,530,,,,530,,533,8,Trinity College Dublin,,,
Business and administration,Business Studies and Russian,TR087,487,,,,487,,521,8,Trinity College Dublin,,,
Business and administration,Business Studies and Polish,TR089,391,,,,391,,432,8,Trinity College Dublin,,,
Business and administration,Business Studies and Spanish,TR090,566,,,,566,,589,8,Trinity College Dublin,,,
Health,General Nursing (Meath and St James`s),TR091,462,,456,*,454,*,487,8,Trinity College Dublin,,,
Health,General Nursing (Adelaide School of Nursing),TR093,473,,,,473,,484,8,Trinity College Dublin,#,,
Health,Mental Health Nursing,TR095,442,,,,432,,455,8,Trinity College Dublin,,,
Health,Intellectual Disability Nursing,TR097,412,,410,,401,,419,8,Trinity College Dublin,,,
Arts,Ancient History and Archaeology/Geography,TR111,496,,,,509,,530,8,Trinity College Dublin,,,
Arts,Ancient History and Archaeology/History,TR112,577,,,,577,,577,8,Trinity College Dublin,,,
Arts,Ancient History and Archaeology/History of Art and Architecture,TR113,528,,,,528,,541,8,Trinity College Dublin,,,
Arts,Ancient History and Archaeology/Modern Language,TR114,507,,,,507,,512,8,Trinity College Dublin,,,
Arts,Ancient History and Archaeology/Religion,TR117,494,,,,494,,625,8,Trinity College Dublin,,,
Arts,Classical Civilisation/English Literature,TR166,552,,,,552,,567,8,Trinity College Dublin,,,
Arts,Classical Civilisation/History of Art and Architecture,TR173,420,,,,420,,487,8,Trinity College Dublin,,,
Arts,Classical Civilisation/Modern Language,TR177,484,,,,484,,543,8,Trinity College Dublin,,,
Arts,Classical Civilisation/Philosophy,TR179,508,,,,521,,522,8,Trinity College Dublin,,,
Information and Communication Technologies (ICTs),Computer Science/Business Studies,TR188,584,,,,584,,602,8,Trinity College Dublin,,,
Arts,Economics/Geography,TR198,968,,956,,954,,,8,Trinity College Dublin,,,
Arts,Economics/History,TR202,601,,,,601,,625,8,Trinity College Dublin,,,
Arts,Economics/Mathematics,TR207,613,*,,,613,,625,8,Trinity College Dublin,,,
Arts,Economics/Modern Language,TR208,589,,,,589,,611,8,Trinity College Dublin,,,
Arts,Economics/Philosophy,TR209,588,,,,589,,611,8,Trinity College Dublin,,,
Arts,Economics/Sociology,TR212,589,,,,589,,606,8,Trinity College Dublin,,,
Social and behavioural sciences,Social Policy/Economics,TR214,611,,,,611,,611,8,Trinity College Dublin,,,
Arts,Classical Languages/English Literature,TR228,555,,,,555,,583,8,Trinity College Dublin,,,
Interdisciplinary programmes and qualifications involving arts and humanities,Classical Languages/Linguistics,TR230,501,,,,501,,501,8,Trinity College Dublin,,,
Interdisciplinary programmes and qualifications involving arts and humanities,Classical Languages/History of Art and Architecture,TR231,613,,,,613,,613,8,Trinity College Dublin,,,
Interdisciplinary programmes and qualifications involving arts and humanities,"Classical Languages/Middle Eastern,Jewish and Islamic Civilisations",TR233,583,,,,583,,583,8,Trinity College Dublin,,,
Arts,Classical Languages/Modern Language,TR239,543,,,,543,,558,8,Trinity College Dublin,,,
Information and Communication Technologies (ICTs),Computer Science/Geography,TR240,482,,,,482,,541,8,Trinity College Dublin,,,
Information and Communication Technologies (ICTs),Computer Science/Linguistics,TR241,495,,,,495,,532,8,Trinity College Dublin,,,
Arts,English Literature/History,TR262,576,*,,,576,,600,8,Trinity College Dublin,,,
Arts,English Literature/History of Art and Architecture,TR263,571,,,,571,,576,8,Trinity College Dublin,,,
Arts,English Literature/Philosophy,TR269,555,,,,555,,584,8,Trinity College Dublin,,,
Arts,English Literature/Sociology,TR272,553,,,,553,,567,8,Trinity College Dublin,,,
Arts,English Literature/Drama Studies,TR276,555,,,,555,,589,8,Trinity College Dublin,#,,
Arts,English Literature/Modern Language,TR277,554,,,,554,,586,8,Trinity College Dublin,,,
Arts,Film/Drama Studies,TR311,578,,,,578,,578,8,Trinity College Dublin,#,,
Arts,Film/English Literature,TR312,576,,,,576,,590,8,Trinity College Dublin,,,
Arts,Film/Music,TR320,584,,,,584,,601,8,Trinity College Dublin,#,,
Arts,Geography/History,TR322,578,,,,613,,613,8,Trinity College Dublin,,,
Arts,Drama Studies/Modern Language,TR323,495,,,,495,,589,8,Trinity College Dublin,#,,
Arts,Film/Modern Language,TR324,577,,,,577,,589,8,Trinity College Dublin,,,
Arts,Film/History,TR325,578,,,,613,,613,8,Trinity College Dublin,,,
Arts,Geography/Modern Language,TR326,451,,,,451,,500,8,Trinity College Dublin,,,
Social and behavioural sciences,Political Science/Geography,TR328,564,*,,,564,,590,8,Trinity College Dublin,,,
Arts,Geography/Sociology,TR332,522,*,,,522,,554,8,Trinity College Dublin,,,
Arts,History/History of Art and Architecture,TR443,581,,,,581,,613,8,Trinity College Dublin,,,
Arts,History/Modern Language,TR447,576,,,,576,,576,8,Trinity College Dublin,,,
Arts,History/Philosophy,TR449,579,,,,579,,590,8,Trinity College Dublin,,,
Arts,History/Religion,TR454,,,,,,,,8,Trinity College Dublin,,,
Arts,History of Art and Architecture/Modern Language,TR455,451,,,,451,,512,8,Trinity College Dublin,,,
Social and behavioural sciences,History/Political Science,TR457,576,*,,,576,,590,8,Trinity College Dublin,,,
Arts,History of Art and Architecture/Philosophy,TR479,509,,,,519,,531,8,Trinity College Dublin,,,
Social and behavioural sciences,Sociology/History of Art and Architecture,TR482,522,,,,522,,541,8,Trinity College Dublin,,,
Arts,"Middle Eastern,Jewish and Islamic Civ./Ancient History and Archaeology",TR547,543,,,,543,,543,8,Trinity College Dublin,,,
Arts,"Middle Eastern,Jewish and Islamic Civilisations/Classical Civilisation",TR548,544,,,,544,,544,8,Trinity College Dublin,,,
Arts,"Middle Eastern,Jewish and Islamic Civilisations/History",TR554,576,,,,576,,580,8,Trinity College Dublin,,,
Arts,"Middle Eastern,Jewish and Islamic Civilisations/Modern Language",TR563,590,,,,590,,590,8,Trinity College Dublin,,,
Arts,"Middle Eastern,Jewish and Islamic Civilisations/Music",TR564,,,,,,,,8,Trinity College Dublin,#,,
Arts,"Middle Eastern,Jewish and Islamic Civilisations/Religion",TR565,999,,949,,949,,,8,Trinity College Dublin,,,
Business and administration,Business Studies/Law,TR580,625,,,,625,,625,8,Trinity College Dublin,,,
Arts,History/Law,TR581,625,,,,625,,625,8,Trinity College Dublin,,,
Social and behavioural sciences,Political Science/Law,TR582,625,*,,,625,,625,8,Trinity College Dublin,,,
Arts,"Middle Eastern,Jewish and Islamic Civilisations/Linguistics",TR587,,,,,,,,8,Trinity College Dublin,,,
Arts,Linguistics/Modern Language,TR588,456,,,,456,,519,8,Trinity College Dublin,,,
Arts,Linguistics/Philosophy,TR589,520,,,,520,,553,8,Trinity College Dublin,,,
Social and behavioural sciences,"Sociology/Middle Eastern,Jewish and Islamic Civilisations",TR592,531,,,,531,,539,8,Trinity College Dublin,,,
Arts,Mathematics/Modern Language,TR597,613,,,,613,,613,8,Trinity College Dublin,,,
Arts,Mathematics/Music,TR598,625,,,,625,,625,8,Trinity College Dublin,#,,
Arts,Mathematics/Philosophy,TR599,625,,,,625,,625,8,Trinity College Dublin,,,
Arts,Music/Philosophy,TR629,533,,,,533,,533,8,Trinity College Dublin,#,,
Arts,Music/Drama Studies,TR635,532,,,,532,,532,8,Trinity College Dublin,#,,
Arts,Music/Modern Language,TR636,530,,,,530,,555,8,Trinity College Dublin,#,,
Arts,Music/Religion,TR638,,,,,,,,8,Trinity College Dublin,#,,
Arts,Philosophy/Modern Language,TR639,520,,,,520,,540,8,Trinity College Dublin,,,
Arts,Philosophy/Sociology,TR662,531,,,,531,,542,8,Trinity College Dublin,,,
Arts,Religion/Classical Civilisation,TR663,418,,,,418,,442,8,Trinity College Dublin,,,
Arts,Religion/English Literature,TR664,968,,,,966,,,8,Trinity College Dublin,,,
Arts,Religion/History of Art and Architecture,TR665,369,,,,369,,494,8,Trinity College Dublin,,,
Arts,Religion/Modern Language,TR666,,,,,,,,8,Trinity College Dublin,,,
Arts,French/Modern Language,TR667,466,,,,466,,508,8,Trinity College Dublin,,,
Arts,German/Modern Language,TR668,441,,,,441,,521,8,Trinity College Dublin,,,
Arts,Irish/Modern Language,TR669,464,,,,464,,533,8,Trinity College Dublin,,,
Arts,Italian/Modern Language,TR670,462,,,,462,,498,8,Trinity College Dublin,,,
Arts,Russian/Modern Language,TR671,501,,,,501,,525,8,Trinity College Dublin,,,
Arts,Spanish/Modern Language,TR672,486,,,,486,,552,8,Trinity College Dublin,,,
Arts,Sociology/Modern Language,TR756,522,,,,522,,545,8,Trinity College Dublin,,,
Social and behavioural sciences,Modern Language/Social Policy,TR757,555,,,,555,,566,8,Trinity College Dublin,,,
Social and behavioural sciences,Social Policy/Political Science,TR758,566,,,,566,,597,8,Trinity College Dublin,,,
Social and behavioural sciences,Sociology/Social Policy,TR759,554,*,,,554,,579,8,Trinity College Dublin,,,
Health,Dental Nursing,TR801,490,,485,,433,,498,7,Trinity College Dublin,,,
Health,Dental Hygiene,TR802,577,,565,,565,,613,7,Trinity College Dublin,#,,
Health,Dental Technology,TR803,543,,498,*,434,,509,7,Trinity College Dublin,#,,
Health,Children`s and General Nursing (Integrated),TR911,531,*,,,529,*,544,8,Trinity College Dublin,,,
Health,Midwifery,TR913,521,,,,520,,543,8,Trinity College Dublin,,,
Architecture and construction,Architecture,DN100,555,,,,553,,577,8,University College Dublin (NUI),,,
Architecture and construction,Landscape Architecture,DN120,463,,435,,430,,484,8,University College Dublin (NUI),,,
Architecture and construction,City Planning and Environmental Policy,DN130,445,,424,,420,,474,8,University College Dublin (NUI),,,
Engineering and engineering trades,Engineering (Common Entry),DN150,565,*,,,556,*,601,8,University College Dublin (NUI),,,
"Interdisciplinary programmes and qualifications involving natural sciences, Mathematics and statistics",Science (options),DN200,577,,567,,566,,589,8,University College Dublin (NUI),,,
Information and Communication Technologies (ICTs),Computer Science (Common Entry),DN201,554,,549,,542,,558,8,University College Dublin (NUI),,,
Mathematics and statistics,Actuarial and Financial Studies,DN230,613,*,613,*,613,,625,8,University College Dublin (NUI),,,
Environment,Sustainability,DN240,510,,,,506,,532,8,University College Dublin (NUI),,,
"Interdisciplinary programmes and qualifications involving agriculture, forestry and veterinary",Agricultural Science (options),DN250,454,,444,,440,,489,8,University College Dublin (NUI),,,
Agriculture,Food Science,DN261,531,,,,522,,544,8,University College Dublin (NUI),,,
Health,Human Nutrition,DN262,566,,,,566,,577,8,University College Dublin (NUI),,,
Veterinary,Veterinary Medicine - Undergraduate Entry,DN300,601,*,,,601,*,613,8,University College Dublin (NUI),#,,
Veterinary,Veterinary Medicine - Graduate Entry (GAMSAT required),DN301,#,,,,#,,,8,University College Dublin (NUI),#,,
Veterinary,Veterinary Nursing,DN310,521,,509,,486,,522,8,University College Dublin (NUI),,,
Health,Medicine - Undergraduate Entry (HPAT required),DN400,743,*,,,743,*,751,8,University College Dublin (NUI),#,,
Health,Medicine - Graduate Entry (GAMSAT required),DN401,61,*,,,61,*,63,8,University College Dublin (NUI),#,,
Health,Radiography,DN410,566,*,566,*,565,*,578,8,University College Dublin (NUI),,,
Health,Radiography - Graduate Entry,DN411,#,,,,#,,,8,University College Dublin (NUI),,,
Health,Physiotherapy,DN420,601,*,601,*,601,*,613,8,University College Dublin (NUI),,,
Health,Health and Performance Science,DN425,544,,543,,541,,555,8,University College Dublin (NUI),,,
Business and administration,Sport and Exercise Management,DN430,484,,476,,473,,499,8,University College Dublin (NUI),,,
Biological and related sciences,"Biomedical, Health and Life Sciences",DN440,613,*,613,*,613,*,618,8,University College Dublin (NUI),,,
Health,General Nursing,DN450,462,*,,,462,*,490,8,University College Dublin (NUI),,,
Health,Children`s and General Nursing (Integrated),DN451,533,,,,532,,554,8,University College Dublin (NUI),,,
Health,Midwifery,DN452,510,,509,*,507,,511,8,University College Dublin (NUI),,,
Health,Mental Health Nursing,DN453,442,,,,441,*,451,8,University College Dublin (NUI),,,
Arts,Joint Honours (options),DN520,381,,378,,356,,445,8,University College Dublin (NUI),,,
Humanities (except languages),Humanities (options),DN530,397,,388,,359,,465,8,University College Dublin (NUI),,,
Languages,Modern Languages (options),DN541,320,,,,320,,423,8,University College Dublin (NUI),,,
Law,Law (options),DN600,576,,567,*,566,,588,8,University College Dublin (NUI),,,
Business and administration,Business and Law,DN610,573,,567,,566,,589,8,University College Dublin (NUI),,,
Business and administration,Commerce,DN650,555,,,,554,*,567,8,University College Dublin (NUI),,,
Business and administration,Commerce International (options),DN660,555,,554,*,554,,567,8,University College Dublin (NUI),,,
Business and administration,Economics and Finance,DN670,625,*,625,,625,,625,8,University College Dublin (NUI),,,
Social and behavioural sciences,Social Sciences (options),DN700,475,,474,,463,,509,8,University College Dublin (NUI),,,
Social and behavioural sciences,Economics,DN710,534,,532,*,522,,544,8,University College Dublin (NUI),,,
Social and behavioural sciences,Psychology,DN720,566,,564,,555,,577,8,University College Dublin (NUI),,,
Social and behavioural sciences,Social Policy and Sociology,DN750,421,,,,408,,441,8,University College Dublin (NUI),,,
Business and administration,Business and Management,DK710,120,,120,,120,,409,7,Dundalk Institute of Technology,,avp,
Business and administration,Business and Technology,DK711,140,,140,,140,,395,7,Dundalk Institute of Technology,,avp,
Business and administration,Digital Marketing and Public Relations,DK712,206,,195,,190,,397,7,Dundalk Institute of Technology,,avp,
Information and Communication Technologies (ICTs),Computing,DK721,120,,120,,120,,368,7,Dundalk Institute of Technology,,avp,
Information and Communication Technologies (ICTs),Augmented and Virtual Reality,DK722,207,,207,,179,,331,7,Dundalk Institute of Technology,,avp,
Architecture and construction,Building Surveying,DK730,243,,204,,204,,399,7,Dundalk Institute of Technology,,,
Architecture and construction,Architectural Technology,DK731,253,,210,,210,,414,7,Dundalk Institute of Technology,,,
Architecture and construction,Construction Management,DK732,243,,229,,229,,368,7,Dundalk Institute of Technology,,,
Engineering and engineering trades,Engineering - Electrical and Electronic Systems,DK740,163,,163,,163,,329,7,Dundalk Institute of Technology,,avp,
Engineering and engineering trades,Engineering - Mechanical Engineering,DK742,166,,166,,166,,344,7,Dundalk Institute of Technology,,avp,
Architecture and construction,Engineering - Civil Engineering,DK744,165,,165,,165,,399,7,Dundalk Institute of Technology,,avp,
Personal services,Hospitality Management,DK750,223,,157,,157,,347,7,Dundalk Institute of Technology,,avp,
Personal services,Event Management,DK752,224,,211,,211,,369,7,Dundalk Institute of Technology,,avp,
Personal services,Culinary Arts,DK753,192,,192,,192,,356,7,Dundalk Institute of Technology,,avp,
Personal services,"Sport, Exercise and Enterprise",DK763,205,,165,,165,,350,7,Dundalk Institute of Technology,,avp,
Welfare,Community Youth Work (interview),DK767,240,,240,,240,,320,7,Dundalk Institute of Technology,#,avp,
Arts,Audio and Music Production,DK768,329,,285,,280,,408,7,Dundalk Institute of Technology,,,
Arts,Creative Media,DK769,265,,209,,179,,420,7,Dundalk Institute of Technology,,,
Arts,Theatre and Film Practice,DK770,140,,140,,140,,410,7,Dundalk Institute of Technology,,avp,
Arts,Musical Theatre (audition),DK771,,,,,,,0,7,Dundalk Institute of Technology,#,,
Biological and related sciences,Science - Bioscience,DK781,376,,,,341,,485,7,Dundalk Institute of Technology,,,
Biological and related sciences,Science - Pharmaceutical Science,DK783,346,,,,346,,409,7,Dundalk Institute of Technology,,,
Veterinary,Veterinary Nursing,DK784,451,,430,,399,,462,7,Dundalk Institute of Technology,,,
Business and administration,Accounting and Finance,DK810,307,,307,,307,,399,8,Dundalk Institute of Technology,,avp,
Business and administration,Business Studies,DK816,301,,301,,301,,382,8,Dundalk Institute of Technology,,avp,
Information and Communication Technologies (ICTs),Computing in Games Development,DK820,309,,309,,309,,381,8,Dundalk Institute of Technology,,avp,
Information and Communication Technologies (ICTs),Computing in Software Development,DK821,320,,316,,307,,379,8,Dundalk Institute of Technology,,,
Information and Communication Technologies (ICTs),Augmented and Virtual Reality,DK822,320,,320,,307,,340,8,Dundalk Institute of Technology,,avp,
Architecture and construction,Building Surveying,DK830,305,,,,305,,378,8,Dundalk Institute of Technology,,avp,
Architecture and construction,Architectural Technology,DK831,368,,314,,314,,377,8,Dundalk Institute of Technology,,avp,
Architecture and construction,Construction Management,DK832,358,,305,,305,,362,8,Dundalk Institute of Technology,,avp,
Engineering and engineering trades,Engineering (Common Entry),DK843,404,,391,,391,,466,8,Dundalk Institute of Technology,,avp,
Engineering and engineering trades,Mechanical Engineering,DK844,336,,336,,336,,435,8,Dundalk Institute of Technology,,avp,
Engineering and engineering trades,Electrical and Electronic Engineering,DK845,331,,331,,331,,434,8,Dundalk Institute of Technology,,avp,
Architecture and construction,Civil Engineering,DK846,371,,371,,371,,465,8,Dundalk Institute of Technology,,avp,
Personal services,International Tourism Management,DK850,303,,303,,303,,417,8,Dundalk Institute of Technology,,avp,
Social and behavioural sciences,Arts,DK861,302,,302,,300,,347,8,Dundalk Institute of Technology,,avp,
Welfare,Social Care,DK862,322,,319,,301,,348,8,Dundalk Institute of Technology,,,
Arts,Creative Media,DK863,336,,320,,309,,432,8,Dundalk Institute of Technology,,,
Arts,Film and Television Production,DK864,308,,,,308,,399,8,Dundalk Institute of Technology,,,
Arts,Audio and Music Production,DK865,352,,,,308,,404,8,Dundalk Institute of Technology,,,
Health,General Nursing,DK870,440,*,440,*,433,,451,8,Dundalk Institute of Technology,,,
Health,Intellectual Disability Nursing,DK872,367,,366,,347,,368,8,Dundalk Institute of Technology,,,
