CATEGORY,COURSE CODE2,COURSE TITLE,R1 POINTS,R1 Random *,R2 POINTS,R2 Random*,EOS,EOS Random *,EOS Mid-point,LEVEL,HEI,Test/Interview #,avp,v
Architecture and construction,AL810,Quantity Surveying,319,,,,326,,352,8,Athlone Institute of Technology,,,
Architecture and construction,AL811,Civil Engineering,320,,,,320,,432,8,Athlone Institute of Technology,,,
Manufacturing and processing,AL820,Mechanical and Polymer Engineering,308,,,,308,,379,8,Athlone Institute of Technology,,,
Health,AL830,General Nursing,442,,,,442,,463,8,Athlone Institute of Technology,,,
Health,AL832,Psychiatric Nursing,387,*,384,,384,,399,8,Athlone Institute of Technology,,,
Health,AL836,Nutrition and Health Science,334,,,,334,,379,8,Athlone Institute of Technology,,,
Personal services,AL837,Sports Science with Exercise Physiology,351,,,,351,,384,8,Athlone Institute of Technology,,,
Biological and related sciences,AL838,Biotechnology,307,,,,307,,356,8,Athlone Institute of Technology,,,
Biological and related sciences,AL839,Microbiology,325,,,,325,,393,8,Athlone Institute of Technology,,,
Physical sciences,AL840,Pharmaceutical Sciences,347,,,,347,,403,8,Athlone Institute of Technology,,,
Health,AL841,Athletic and Rehabilitation Therapy,430,,,,430,,465,8,Athlone Institute of Technology,,,
Biological and related sciences,AL842,Bioveterinary Science,313,,,,313,,383,8,Athlone Institute of Technology,,,
Health,AL843,Physical Activity and Health Science,306,,,,306,,326,8,Athlone Institute of Technology,,,
Business and administration,AL850,Business,309,,,,309,,377,8,Athlone Institute of Technology,,,
Law,AL851,Business and Law,295,,,,295,,351,8,Athlone Institute of Technology,,,
Business and administration,AL852,Accounting,309,,,,309,,422,8,Athlone Institute of Technology,,,
Personal services,AL854,Sport Management (with international placement),302,,299,,299,,338,8,Athlone Institute of Technology,,,
Personal services,AL855,Hospitality Management (with international placement),308,,,,308,,347,8,Athlone Institute of Technology,,,
Business and administration,AL857,Digital Marketing,304,,,,304,,332,8,Athlone Institute of Technology,,,
Welfare,AL860,Social Care Practice,300,,,,300,,348,8,Athlone Institute of Technology,,,
Arts,AL861,Animation and Illustration (portfolio),578,,,,578,,878,8,Athlone Institute of Technology,#,,
Arts,AL863,Graphic and Digital Design (portfolio),781,,,,781,,824,8,Athlone Institute of Technology,#,,
Welfare,AL864,Early Years Care and Education,307,,,,307,,346,8,Athlone Institute of Technology,,,
Social and behavioural sciences,AL870,Applied Psychology,418,,,,418,,444,8,Athlone Institute of Technology,,,
Education,AS001,"Education, Home Economics and Biology - with concurrent Teacher Ed",510,,,,518,,544,8,St. Angela`s College,,,
Education,AS002,"Education, Home Economics and Religious Ed - with concurrent Teacher Ed",441,*,434,*,434,*,466,8,St. Angela`s College,,,
Education,AS003,"Education, Home Economics and Irish - with concurrent Teacher Ed",440,*,440,,440,,484,8,St. Angela`s College,,,
Business and administration,AS051,"Nutrition, Food and Business Management",328,,317,,317,,398,8,St. Angela`s College,,,
Biological and related sciences,AS054,Home Economics,408,,398,,398,,429,8,St. Angela`s College,,,
Health,AS110,General Nursing,419,*,,,419,*,431,8,St. Angela`s College,,,
Health,AS130,Intellectual Disability Nursing,336,*,328,,317,,339,8,St. Angela`s College,,,
Welfare,CI001,Counselling Skills and Psychotherapy Studies,300,,,,300,,440,7,Irish College of Humanities & Applied Sciences,,,
Welfare,CI002,Counselling Skills and Addiction Studies,309,,,,309,,367,7,Irish College of Humanities & Applied Sciences,,,
Welfare,CI005,Counselling Skills and Youth Studies,306,,302,,302,,451,7,Irish College of Humanities & Applied Sciences,,,
Welfare,CI110,Counselling and Psychotherapy,310,,,,310,,392,8,Irish College of Humanities & Applied Sciences,,,
Welfare,CI111,Counselling and Addiction Studies,301,,,,301,,319,8,Irish College of Humanities & Applied Sciences,,,
Welfare,CI112,Counselling and Youth Studies,311,,,,311,,311,8,Irish College of Humanities & Applied Sciences,,,
Arts,CK101,Arts - 3 years,300,,,,300,,388,8,University College Cork (NUI),,,
Social and behavioural sciences,CK102,Social Science,412,,,,412,,451,8,University College Cork (NUI),,,
Arts,CK104,Arts with Music - 3 or 4 years (BMus or Chinese/European/Int`l Pathway),302,,,,302,,435,8,University College Cork (NUI),#,,
Arts,CK105,Film and Screen Media - 3 years or 4 years (International Pathway),368,,337,,319,,418,8,University College Cork (NUI),,,
Humanities (except languages),CK107,Geographical and Archaeological Sciences - 3 or 4 years (Int`l Pathway),328,,,,328,,388,8,University College Cork (NUI),,,
Languages,CK108,Arts International - 4 years,401,,,,401,,466,8,University College Cork (NUI),,,
Languages,CK109,English - 3 years or 4 years (International Pathway),318,,,,318,,441,8,University College Cork (NUI),,,
Languages,CK110,World Languages,452,,433,,410,,506,8,University College Cork (NUI),,,
Welfare,CK111,Early Years and Childhood Studies,419,,,,419,,451,8,University College Cork (NUI),,,
Arts,CK112,Theatre and Performative Practices - 3 or 4 years (Int`l Pathway),330,,,,330,,434,8,University College Cork (NUI),#,,
Social and behavioural sciences,CK113,Criminology - 3 years or 4 years (International Pathway),423,,,,423,,463,8,University College Cork (NUI),,,
Welfare,CK114,Social Science (Youth and Community Work) - 3 years,,,,,777,,,8,University College Cork (NUI),#,,
Welfare,CK115,Social Work - Mature Applicants only,,,,,999,,,8,University College Cork (NUI),,,
Arts,CK118,Digital Humanities and IT - 3 or 4 years (Work Exper. or Int`l Pathway),336,,,,336,,378,8,University College Cork (NUI),,,
Social and behavioural sciences,CK120,Applied Psychology,533,*,532,*,531,*,555,8,University College Cork (NUI),,,
Social and behavioural sciences,CK121,Psychology and Computing - 3 or 4 years (Work Experience Pathway),466,,,,466,,496,8,University College Cork (NUI),,,
Social and behavioural sciences,CK122,Government and Political Science,337,,328,,326,,403,8,University College Cork (NUI),,,
Humanities (except languages),CK123,Anthropology,308,,,,308,,410,8,University College Cork (NUI),,,
Education,CK124,Education - Gaeilge,463,,462,,452,*,495,8,University College Cork (NUI),,,
Education,CK125,Sports Studies and Physical Education,510,*,509,*,509,*,532,8,University College Cork (NUI),,,
Business and administration,CK201,Commerce,477,*,,,477,*,509,8,University College Cork (NUI),,,
Business and administration,CK202,Accounting,509,,,,509,,542,8,University College Cork (NUI),,,
Information and Communication Technologies (ICTs),CK203,Business Information Systems,430,,,,430,,467,8,University College Cork (NUI),,,
Business and administration,CK204,Finance,556,,,,556,,590,8,University College Cork (NUI),,,
Business and administration,CK205,Commerce (International) with French,445,,,,445,,495,8,University College Cork (NUI),,,
Business and administration,CK206,Commerce (International) with German,420,,418,,418,,476,8,University College Cork (NUI),,,
Business and administration,CK207,Commerce (International) with Italian,388,,,,388,,455,8,University College Cork (NUI),,,
Business and administration,CK208,Commerce (International) with Hispanic Studies,402,,,,402,,484,8,University College Cork (NUI),,,
Business and administration,CK209,Commerce (International) with Irish,484,,,,484,,531,8,University College Cork (NUI),,,
Business and administration,CK211,Commerce (International) with Chinese Studies,397,,,,397,,433,8,University College Cork (NUI),,,
Social and behavioural sciences,CK212,Economics (through Transformational Learning) 3 or 4 years Int`l Pathway,444,,,,444,,473,8,University College Cork (NUI),,,
Business and administration,CK213,Food Marketing and Entrepreneurship,462,,,,462,,476,8,University College Cork (NUI),,,
Social and behavioural sciences,CK214,International Development,346,,,,346,,422,8,University College Cork (NUI),,,
Law,CK301,Law (Pathways) -  3 or 4 years,507,,499,,498,*,531,8,University College Cork (NUI),,,
Law,CK302,Law and French,542,,,,542,,576,8,University College Cork (NUI),,,
Law,CK304,Law and Irish,540,,,,540,,565,8,University College Cork (NUI),,,
Law,CK307,Law and Business,556,,,,556,,589,8,University College Cork (NUI),,,
Information and Communication Technologies (ICTs),CK401,Computer Science,468,,,,468,,509,8,University College Cork (NUI),,,
Biological and related sciences,CK402,Biological and Chemical Sciences,510,*,509,*,509,,532,8,University College Cork (NUI),,,
Biological and related sciences,CK404,"Biological, Earth and Environmental Sciences",467,,,,465,,498,8,University College Cork (NUI),,,
Biological and related sciences,CK405,Genetics,487,,,,487,,498,8,University College Cork (NUI),,,
Physical sciences,CK406,Chemical Sciences,485,,472,,462,,494,8,University College Cork (NUI),,,
Mathematics and statistics,CK407,Mathematical Sciences,566,,565,*,565,,601,8,University College Cork (NUI),,,
Physical sciences,CK408,Physics and Astrophysics,554,,542,,531,*,589,8,University College Cork (NUI),,,
Physical sciences,CK409,Industrial Physics - Offered jointly by UCC and CIT,432,,,,432,,499,8,University College Cork (NUI),,,
Information and Communication Technologies (ICTs),CK411,Data Science and Analytics,510,,,,509,,554,8,University College Cork (NUI),,,
Agriculture,CK412,Agricultural Science,496,*,496,*,489,*,510,8,University College Cork (NUI),,,
Biological and related sciences,CK504,Nutritional Sciences,518,,,,517,*,554,8,University College Cork (NUI),,,
Manufacturing and processing,CK505,Food Science,441,,440,*,420,,465,8,University College Cork (NUI),,,
Engineering and engineering trades,CK600,Engineering,487,,,,487,,532,8,University College Cork (NUI),,,
Architecture and construction,CK606,Architecture - Offered jointly by UCC and CIT,484,,476,,469,,510,8,University College Cork (NUI),,,
Health,CK701,Medicine (Undergraduate Entry - HPAT required),731,,,,731,,739,8,University College Cork (NUI),#,,
Health,CK702,Dentistry,613,*,613,*,613,*,613,8,University College Cork (NUI),,,
Health,CK703,Pharmacy,590,,589,*,589,*,602,8,University College Cork (NUI),,,
Health,CK704,Occupational Therapy,566,,555,*,555,*,577,8,University College Cork (NUI),,,
Health,CK705,Speech and Language Therapy,520,,,,520,,541,8,University College Cork (NUI),,,
Health,CK706,Public Health Sciences,454,,,,454,,477,8,University College Cork (NUI),,,
Health,CK707,Medical and Health Sciences,542,,541,,541,,555,8,University College Cork (NUI),,,
Health,CK710,General Nursing,454,*,,,454,*,477,8,University College Cork (NUI),,,
Health,CK712,Children`s and General Nursing (Integrated),533,,,,533,,553,8,University College Cork (NUI),,,
Health,CK720,Mental Health Nursing,423,,,,419,,440,8,University College Cork (NUI),,,
Health,CK730,Intellectual Disability Nursing,419,,411,,400,,433,8,University College Cork (NUI),,,
Health,CK740,Midwifery,484,,,,473,*,507,8,University College Cork (NUI),,,
Health,CK791,Medicine  - Graduate Entry (GAMSAT required),57,*,,,57,*,58,8,University College Cork (NUI),#,,
Education,CM001,Education - Primary Teaching,484,*,,,484,*,487,8,Marino Institute of Education,,,
Education,CM002,Education - Primary Teaching - Gaeltacht Applicants,,,,,,,,8,Marino Institute of Education,#,,
Education,CM003,Oideachas - Bunmhúinteoireacht Trí Mheán na Gaeilge – Gaeltacht,528,,,,528,,570,8,Marino Institute of Education,#,,
Education,CM004,Oideachas - Bunmhúinteoireacht Trí Mheán na Gaeilge – Gaeltacht,494,,,,494,,513,8,Marino Institute of Education,#,,
Education,CM010,Education Studies,319,,,,317,,407,8,Marino Institute of Education,,avp,
Education,CM020,Early Childhood Education,327,,,,327,,390,8,Marino Institute of Education,,,
Physical sciences,CR001,Applied Physics and Instrumentation,250,,,,250,,487,7,Cork Institute of Technology,,,
Biological and related sciences,CR006,Applied Biosciences,361,,,,361,,489,7,Cork Institute of Technology,,,
Physical sciences,CR007,Analytical and Pharmaceutical Chemistry,240,,,,240,,487,7,Cork Institute of Technology,,,
Agriculture,CR010,Agriculture (Year 1 - 2 days in Clonakilty Agri College & 3 days in CIT),321,,,,321,,422,7,Cork Institute of Technology,,,
Information and Communication Technologies (ICTs),CR016,Software Development,307,,,,307,,413,7,Cork Institute of Technology,,,
Business and administration,CR021,Business (Common Entry),255,,,,255,,433,7,Cork Institute of Technology,,,
Business and administration,CR022,Business Administration,190,,,,190,,336,7,Cork Institute of Technology,,,
Welfare,CR031,Social Care Work,346,,,,346,,411,7,Cork Institute of Technology,,,
Personal services,CR032,Recreation and Leisure Management,298,,,,298,,378,7,Cork Institute of Technology,,,
Welfare,CR035,Community Development,100,,,,100,,251,7,Cork Institute of Technology,,,
Personal services,CR041,Tourism Management,216,,,,216,,399,7,Cork Institute of Technology,,,
Personal services,CR042,Hospitality Management,208,,,,208,,316,7,Cork Institute of Technology,,,
Transport services,CR046,Automotive Technology and Management,216,,,,216,,337,7,Cork Institute of Technology,,,
Architecture and construction,CR051,Civil Engineering,248,,,,248,,451,7,Cork Institute of Technology,,,
Architecture and construction,CR052,Construction,251,,,,251,,367,7,Cork Institute of Technology,,,
Arts,CR053,Interior Architecture,308,,,,308,,434,7,Cork Institute of Technology,,,
Engineering and engineering trades,CR055,Environmental Engineering,258,,,,258,,409,7,Cork Institute of Technology,,,
Engineering and engineering trades,CR061,Electronic Engineering,260,,,,260,,444,7,Cork Institute of Technology,,,
Engineering and engineering trades,CR062,Electrical Engineering,300,,,,300,,401,7,Cork Institute of Technology,,,
Engineering and engineering trades,CR071,Mechanical Engineering,261,,,,261,,444,7,Cork Institute of Technology,,,
Health,CR075,Biomedical Engineering,306,,,,306,,498,7,Cork Institute of Technology,,,
Architecture and construction,CR090,Architectural Technology,266,,,,266,,411,7,Cork Institute of Technology,,,
Transport services,CR094,Nautical Science at National Maritime College of Ireland,243,,,,243,,380,7,Cork Institute of Technology,,,
